Day,Price,Market Cap,Volume
2021-09-01,1.11,3850645563.61,351480894.11
2021-09-02,1.16,4069488629.33,290896920.91
2021-09-03,1.14,4015388638.66,174836644.38
2021-09-04,1.22,4287728465.76,358631626.15
2021-09-05,1.21,4268711206.25,246608176.08
2021-09-06,1.31,4628177431.50,322494889.78
2021-09-07,1.48,5233461151.29,528891500.42
2021-09-08,1.28,4504263408.81,686755803.69
2021-09-09,1.93,10128165583.10,3075833747.75
2021-09-10,2.35,12175759199.65,4496664016.05
2021-09-11,2.00,10467054822.84,2376244755.93
2021-09-12,2.00,10486599979.98,1650028429.45
2021-09-13,2.38,12540812895.49,1975081215.10
2021-09-14,2.17,11304045508.96,2089697845.33
2021-09-15,2.04,10710051400.08,1052786364.50
2021-09-16,2.02,10517347163.60,654929559.61
2021-09-17,2.03,10669591178.97,1176326650.70
2021-09-18,1.91,10192638413.21,819695327.42
2021-09-19,2.08,11209409971.52,738405295.04
2021-09-20,1.98,10803237817.32,681047318.85
2021-09-21,1.66,9120536844.40,1008431059.78
2021-09-22,1.56,8774909596.59,752967549.19
2021-09-23,1.83,10398896726.85,730635167.87
2021-09-24,2.01,11470819959.96,822701906.23
2021-09-25,1.78,10325497232.33,811489702.37
2021-09-26,1.74,10132233313.31,461929513.29
2021-09-27,1.75,10262294228.54,488371513.16
2021-09-28,1.68,9950374567.27,548345776.39
2021-09-29,1.56,9313116097.96,455770460.46
2021-09-30,1.60,9548034552.68,442782522.98
2021-10-01,1.62,9756316893.22,413084157.86
2021-10-02,1.77,10679656778.99,516528229.36
2021-10-03,1.77,10755983255.53,498727526.67
2021-10-04,1.99,12153700476.27,688185254.93
2021-10-05,1.94,11929216430.90,1019198862.62
2021-10-06,1.96,12055205804.83,542903851.32
2021-10-07,1.82,11177993691.06,596784772.66
2021-10-08,1.88,11539710667.07,552127660.31
2021-10-09,1.89,11612408703.29,506909996.00
2021-10-10,1.89,11610431913.93,282191926.58
2021-10-11,1.77,10887578266.65,239371587.36
2021-10-12,1.71,10478040688.00,261379177.54
2021-10-13,1.74,10733155250.68,365290121.22
2021-10-14,1.84,11279458638.82,337692301.36
2021-10-15,1.81,11113327897.68,320662903.28
2021-10-16,1.76,10822970451.95,309342143.94
2021-10-17,1.80,11107111706.82,332033094.94
2021-10-18,1.77,10859516288.24,341434355.03
2021-10-19,1.73,10658237651.24,196680026.06
2021-10-20,1.71,10536959238.00,212305274.67
2021-10-21,1.79,11040420512.58,265100349.83
2021-10-22,1.79,10990150264.41,412626280.43
2021-10-23,1.86,11455730665.97,506523625.48
2021-10-24,1.91,11763527733.00,332401587.62
2021-10-25,1.82,11194632193.95,248737387.07
2021-10-26,2.06,12711161052.21,525463485.70
2021-10-27,2.01,12334797990.02,587122693.31
2021-10-28,1.80,11128880460.51,665227662.38
2021-10-29,1.85,11431588408.75,466521110.59
2021-10-30,1.87,11587404311.73,349426378.89
2021-10-31,1.82,11262047707.34,216680168.68
2021-11-01,1.83,11330288034.97,266176285.79
2021-11-02,1.84,11352166214.79,253927233.70
2021-11-03,1.87,11589570606.90,285128642.72
