Day,Price,Market Cap,Volume
2021-09-01,39.62,6930747543.10,803631238.13
2021-09-02,42.44,7488956239.90,992127412.06
2021-09-03,47.53,8208051599.34,883771525.71
2021-09-04,45.81,8054269341.44,1237827428.66
2021-09-05,47.25,8366989077.63,865449809.52
2021-09-06,48.02,10548149169.87,709042046.21
2021-09-07,47.22,10389481562.41,1120372843.71
2021-09-08,38.10,8385808708.77,1450629735.65
2021-09-09,36.74,8099073660.95,854271381.40
2021-09-10,40.95,9037986977.70,1286851566.81
2021-09-11,48.44,10664340640.46,2281863152.29
2021-09-12,58.25,12821967384.44,2453771422.74
2021-09-13,59.69,13231808964.72,2662564855.13
2021-09-14,53.52,11789711523.23,2456626059.96
2021-09-15,51.41,11280897717.80,1204443523.11
2021-09-16,57.34,12579264876.93,1098543372.99
2021-09-17,67.45,14817271133.52,2773205453.41
2021-09-18,70.46,15554926815.97,2071174275.26
2021-09-19,68.49,15030607675.64,1919255860.48
2021-09-20,70.16,15421192503.77,1742588477.34
2021-09-21,57.41,12578040919.46,2358181746.68
2021-09-22,57.90,12727023983.65,2494991964.83
2021-09-23,74.21,16340411165.49,2405525026.01
2021-09-24,76.35,16820595538.73,2291368275.48
2021-09-25,72.55,16168283372.72,2180885292.83
2021-09-26,68.82,15187635527.24,996878876.32
2021-09-27,67.05,14764401439.83,1235523204.65
2021-09-28,66.53,14743177027.32,1164837458.89
2021-09-29,61.44,13676104903.43,927139588.15
2021-09-30,65.19,14324823284.55,1296556406.22
2021-10-01,66.47,14651539302.70,984994428.32
2021-10-02,67.55,14876022399.70,1077107269.76
2021-10-03,69.48,15252309342.30,1036199927.90
2021-10-04,68.97,15216109173.09,818103603.57
2021-10-05,65.25,14383469171.81,892718203.80
2021-10-06,64.73,14299978729.64,760243140.55
2021-10-07,60.12,13253723153.97,920546801.20
2021-10-08,61.06,13398972647.35,862127896.22
2021-10-09,60.27,13299755690.81,776023722.30
2021-10-10,60.86,13396743295.62,318424321.50
2021-10-11,56.64,12472147306.85,438618802.40
2021-10-12,55.38,12117207625.44,576974535.78
2021-10-13,54.19,11953029331.73,676331252.86
2021-10-14,55.21,12165006928.49,596717576.33
2021-10-15,56.18,12371290774.81,516636783.38
2021-10-16,56.42,12408030697.72,549140651.91
2021-10-17,57.81,12766836861.53,726802965.36
2021-10-18,56.28,12353993839.62,384762145.53
2021-10-19,55.48,12190231926.14,298193732.87
2021-10-20,57.01,12550121559.57,365344331.10
2021-10-21,59.80,13168643654.78,521653916.71
2021-10-22,61.40,13500244116.54,782051341.38
2021-10-23,65.69,14471876889.85,1177969976.92
2021-10-24,65.77,14502255493.65,647412228.55
2021-10-25,64.70,14189588600.35,486222248.76
2021-10-26,69.74,15362424987.78,548267260.13
2021-10-27,69.02,15231945902.03,917253989.81
2021-10-28,61.71,13638439844.20,938315469.39
2021-10-29,64.38,14182810435.81,589667245.94
2021-10-30,64.63,14263317492.30,380891797.16
2021-10-31,62.27,13716324771.05,335707849.45
2021-11-01,64.29,14156201089.40,384088099.32
2021-11-02,64.91,14232109159.50,550190112.32
2021-11-03,67.68,14909325395.64,428221495.52
2021-11-04,75.03,16546910490.84,1014395091.23
2021-11-05,79.05,17124642880.87,1146238446.58
2021-11-06,74.58,16432498024.95,617052844.60
2021-11-07,78.40,17228237584.41,513939485.39
2021-11-08,88.12,19359272314.12,1358395041.68
2021-11-09,91.17,20137026255.44,2004704771.95
2021-11-10,88.58,19650192435.62,800792615.36
2021-11-11,85.05,18599184304.13,1301955114.18
2021-11-12,88.12,19382859301.24,653430020.47
2021-11-13,84.82,18684893067.20,655006947.23
2021-11-14,97.69,21495929416.36,1099173474.07
2021-11-15,96.03,21047201644.22,1132604956.85
2021-11-16,94.36,20865448492.25,1216611402.36
2021-11-17,99.43,21904094598.70,1809870292.80
2021-11-18,108.50,23820649821.93,2296426122.49
2021-11-19,98.61,21569232517.41,1879479473.07
2021-11-20,111.37,24228145819.16,1483215464.69
2021-11-21,126.07,27785014698.47,2148220654.26
2021-11-22,130.17,28758882874.84,3310625645.96
2021-11-23,134.47,30066351593.57,3060244824.60
2021-11-24,123.53,27672395803.85,1678257066.82
2021-11-25,115.97,26006335927.43,1768376662.50
2021-11-26,118.88,26605279700.59,2014060206.38
2021-11-27,104.42,23344685671.65,1602006698.53
2021-11-28,111.98,24929201702.52,1067712221.88
2021-11-29,110.97,24923084977.03,1302494619.72
2021-11-30,118.61,26388981039.77,1139190583.15
2021-12-01,120.88,27230588283.50,1692359874.67
2021-12-02,119.27,26683321650.22,1293363181.40
2021-12-03,108.07,24315600968.62,1073147059.53
2021-12-04,108.35,24177313476.60,1250553379.19
2021-12-05,92.36,22338436181.02,1937571931.60
2021-12-06,85.67,20696494699.89,1127359634.12
2021-12-07,92.91,22489811470.52,1687348667.78
2021-12-08,89.92,21823162771.81,997182321.17
2021-12-09,92.98,22562872205.50,677105525.66
2021-12-10,86.37,21067772570.10,854254385.00
2021-12-11,81.75,19994958998.62,915438711.16
2021-12-12,86.08,20896784470.79,732753069.57
2021-12-13,88.21,21293276823.31,533128334.87
2021-12-14,78.90,19156344553.08,1067558284.33
2021-12-15,87.24,21192059558.80,982803965.95
2021-12-16,100.80,24476225101.22,2313502471.71
2021-12-17,98.64,24123591784.97,1863618136.58
2021-12-18,111.60,27142146334.37,2409028609.74
2021-12-19,115.69,28154087241.71,1543828507.90
2021-12-20,108.25,26478881283.11,980557832.72
2021-12-21,114.29,27882474232.96,1739271955.01
2021-12-22,123.47,30053463452.80,1554964906.20
2021-12-23,116.59,28511627051.34,1259783814.24
2021-12-24,121.97,29617844546.21,1226690744.43
2021-12-25,115.10,27967800590.52,994358249.86
2021-12-26,115.30,28053866214.01,800347079.32
2021-12-27,115.45,28049258088.51,878605004.30
2021-12-28,114.03,27782515406.12,897938968.48
2021-12-29,107.70,26284042907.78,1385694264.03
2021-12-30,103.60,25093309921.49,1057485216.64
2021-12-31,101.54,24667095817.44,961843290.95
2022-01-01,109.63,26870290075.55,1284949876.15
2022-01-02,114.02,27759632698.09,729756931.86
