Day,Price,Market Cap,Volume
2021-09-01,47335.42,890014982634.90,34868965959.25
2021-09-02,48823.06,918058330851.48,39060601275.21
2021-09-03,49338.78,927323146557.21,39362789535.46
2021-09-04,49934.53,937295558515.29,42934455726.29
2021-09-05,50013.03,940538655659.81,36985805206.73
2021-09-06,51696.21,971284117138.44,31765191430.17
2021-09-07,52739.80,992868819862.23,37532574716.90
2021-09-08,46995.16,881943904968.65,64010507329.27
2021-09-09,46085.03,866885887154.31,48151104381.08
2021-09-10,46518.94,876179332243.74,38581092903.84
2021-09-11,44802.61,842222636395.47,38051987740.16
2021-09-12,45196.49,849828231595.67,34160277726.44
2021-09-13,46195.22,869122611514.09,27585855039.22
2021-09-14,45139.83,848992511473.56,40683028027.85
2021-09-15,47135.43,886524004596.61,38645575965.53
2021-09-16,48186.53,906727769791.07,30037816650.13
2021-09-17,47879.47,900990520811.93,31578783374.77
2021-09-18,47228.66,892585184977.83,27731209179.05
2021-09-19,48266.63,907957032341.13,27630476157.83
2021-09-20,47371.04,891560241243.06,26163167368.59
2021-09-21,42932.95,805826302811.35,41220025453.52
2021-09-22,40386.62,760802031650.61,45940419565.08
2021-09-23,43587.22,820460824050.95,36624234960.05
2021-09-24,44980.90,846615719473.87,33594750550.00
2021-09-25,42752.17,809772498812.68,42973070342.65
2021-09-26,42856.86,808279417023.34,30898116660.06
2021-09-27,43336.86,825341135635.72,30462815705.28
2021-09-28,42247.36,794889951096.44,30483144439.45
2021-09-29,41010.38,775534111089.49,29691944223.29
2021-09-30,41587.67,782626384092.28,30068690311.97
2021-10-01,43859.33,827840965059.61,30859918334.57
2021-10-02,48181.88,906929641888.82,42089383189.81
2021-10-03,47777.76,900582483713.11,29742127387.96
2021-10-04,48282.97,910331395887.48,26034594561.96
2021-10-05,49260.23,927812140868.05,32691763060.32
2021-10-06,51668.99,973040988102.91,35480330025.03
2021-10-07,55415.01,1044675252844.37,48462388015.80
2021-10-08,53894.60,1015246512238.87,36549815857.28
2021-10-09,54010.94,1016650501581.11,33935485256.83
2021-10-10,55125.46,1038524699061.44,31927344846.45
2021-10-11,54711.87,1030788036761.63,38579271671.07
2021-10-12,57572.51,1084736227837.66,41913482915.38
2021-10-13,56335.04,1061829863954.13,40021384610.70
2021-10-14,57487.99,1083366079898.55,41216945749.35
2021-10-15,57452.43,1082900149762.58,35994603913.19
2021-10-16,61809.02,1164782155730.33,53653355008.41
2021-10-17,61165.64,1153847028824.74,35385452268.78
2021-10-18,61583.77,1160650121141.99,29625957541.68
2021-10-19,62017.97,1173944883529.63,39610183787.24
2021-10-20,64517.65,1217582580302.56,42550624869.29
2021-10-21,66237.52,1250376460615.75,40790757381.60
2021-10-22,62541.09,1178926819140.82,48709960685.53
2021-10-23,61029.27,1151508584004.78,40766460604.97
2021-10-24,61572.14,1161166467847.43,28505039147.79
2021-10-25,61173.17,1153315262663.06,29982535557.40
2021-10-26,63228.21,1192131994832.59,30852852368.03
2021-10-27,60604.19,1143497865064.67,33233702858.09
2021-10-28,58641.00,1105754837660.93,43976252157.07
2021-10-29,60767.56,1145912030969.19,52318597556.79
2021-10-30,62283.20,1178047465292.37,38648967244.95
2021-10-31,61837.26,1166423768409.60,31810216329.53
2021-11-01,61471.87,1159841954948.48,32494948460.79
2021-11-02,61121.83,1152831210803.70,35834742028.38
2021-11-03,63247.21,1186951581189.47,37335066460.16
2021-11-04,63130.94,1187048124213.93,36561444796.93
2021-11-05,61601.74,1157101738112.73,33152275947.43
