Day,Price,Market Cap,Volume
2021-09-01,26.73,12003882155.37,1432869187.38
2021-09-02,29.63,13300469954.94,1771226269.73
2021-09-03,30.06,13496276024.89,1554856448.43
2021-09-04,30.71,13790722105.44,1555947905.30
2021-09-05,29.96,13518369649.37,1075909712.16
2021-09-06,33.28,14966448414.11,1509759930.55
2021-09-07,34.89,15710779905.66,2433785072.03
2021-09-08,28.35,12729172603.39,3627207146.29
2021-09-09,27.17,12304993305.85,2465782007.54
2021-09-10,28.01,12660111947.31,1933789041.65
2021-09-11,26.31,11879802413.81,1724958546.99
2021-09-12,26.93,12157292071.07,1030301995.00
2021-09-13,29.42,13334116916.22,1381007875.57
2021-09-14,27.12,12251877099.07,2018390346.24
2021-09-15,30.49,13816924370.12,1828205384.85
2021-09-16,30.67,13812895164.23,1812550197.42
2021-09-17,29.92,13527227285.42,1614080006.04
2021-09-18,27.70,12623161871.07,1290180003.82
2021-09-19,28.41,12858130068.43,969729587.68
2021-09-20,27.44,12446260479.98,818519778.33
2021-09-21,23.53,10629208013.68,1744721051.29
2021-09-22,21.21,9637898532.25,1613474202.01
2021-09-23,24.33,10996655910.31,1305647884.43
2021-09-24,25.36,11478067808.23,1156230796.69
2021-09-25,23.19,10742519170.88,1546272258.50
2021-09-26,24.67,11154693969.89,1294999922.84
2021-09-27,24.55,11141413421.70,1800385251.59
2021-09-28,23.09,10504305853.65,1033739202.83
2021-09-29,22.11,10096077468.57,1014146025.87
2021-09-30,22.92,10389961502.56,959094246.34
2021-10-01,23.93,10859891607.81,921098524.96
2021-10-02,26.31,11985438391.49,1209726617.13
2021-10-03,26.97,12319787469.83,975093495.52
2021-10-04,27.61,12627009283.33,914842196.78
2021-10-05,26.61,12185133063.65,1010407961.51
2021-10-06,27.27,12504224059.70,965956924.93
2021-10-07,26.89,12274829797.27,1278611228.71
2021-10-08,26.89,12244178054.64,1174576942.44
2021-10-09,26.27,12042931529.37,895901735.89
2021-10-10,27.45,12560659739.58,910334742.81
2021-10-11,25.62,11730341073.46,782901053.40
2021-10-12,25.21,11496017970.52,853296323.60
2021-10-13,24.66,11305427384.08,995123502.55
2021-10-14,25.53,11677138027.22,1044763607.49
2021-10-15,26.68,12196548691.88,1360412068.98
2021-10-16,27.08,12422699585.12,1220883028.77
2021-10-17,27.38,12565068986.70,1135620373.03
2021-10-18,26.51,12167974970.66,782907455.61
2021-10-19,25.69,11817889327.99,755532564.11
2021-10-20,25.95,11919045515.54,680755913.19
2021-10-21,27.53,12677182667.87,1198102185.89
2021-10-22,28.41,13099897605.70,1627642782.03
2021-10-23,28.77,13262360419.80,1342360314.47
2021-10-24,31.40,14422166548.67,1420013708.86
2021-10-25,29.78,13688260216.86,1025063193.83
2021-10-26,32.55,14906050859.11,1474217746.78
2021-10-27,32.45,14963737992.28,1426274485.99
2021-10-28,28.96,13379716941.81,2104927367.33
2021-10-29,30.22,13906074326.95,1513184633.27
2021-10-30,30.98,14303415509.92,1161779300.74
2021-10-31,29.67,13721938690.49,781301455.05
2021-11-01,30.01,13911077541.91,891104087.39
2021-11-02,31.66,14623670936.23,1157713645.51
2021-11-03,32.30,14824084520.37,1031475163.59
2021-11-04,31.93,14759759681.67,1129717859.69
2021-11-05,31.05,14218839583.50,893216337.70
2021-11-06,32.99,15301800843.66,1481076972.32
2021-11-07,32.08,14873424809.99,985201906.98
2021-11-08,32.37,14988602021.22,674246747.08
2021-11-09,34.53,16026189919.85,1379916944.06
2021-11-10,33.91,15773481855.02,1265048570.73
2021-11-11,34.29,15787633779.39,2639266887.76
2021-11-12,34.89,16201890065.50,1809633866.62
2021-11-13,34.41,15971809505.53,1443055092.95
2021-11-14,34.16,15890810576.26,769779077.94
2021-11-15,33.91,15679564313.36,692180881.71
2021-11-16,32.19,15013849640.06,793741942.54
2021-11-17,29.41,13698975372.05,1648627138.12
2021-11-18,29.27,13568036190.68,1018276165.85
2021-11-19,26.46,12319403539.39,1122726501.15
2021-11-20,28.43,13212900025.07,933062626.21
2021-11-21,28.43,13258466697.88,774148655.30
2021-11-22,29.27,13626241538.74,748084285.15
2021-11-23,26.79,12486291225.23,867550602.23
2021-11-24,26.97,12600268228.41,807524087.49
2021-11-25,25.61,11955169405.24,796420100.75
2021-11-26,26.35,12330796391.41,898036648.53
2021-11-27,23.90,11134709406.20,1365940542.74
2021-11-28,23.97,11188035925.20,697719076.90
2021-11-29,24.78,11573375968.27,819345387.12
2021-11-30,24.97,11651188663.49,788069023.13
2021-12-01,25.34,11886223848.73,948925997.21
2021-12-02,25.38,11873198758.80,1975526158.90
2021-12-03,24.54,11492643547.53,731486517.08
2021-12-04,23.34,10921883238.69,957497065.69
2021-12-05,20.54,9604167517.31,2253432278.13
2021-12-06,19.37,9031016534.91,1106839135.88
2021-12-07,19.82,9243583345.52,1222025145.63
2021-12-08,20.81,9691169634.14,1075746871.77
2021-12-09,22.75,10587280326.39,1631471431.92
2021-12-10,20.42,9632103039.22,1219204058.83
2021-12-11,18.57,8738670959.88,997072572.17
2021-12-12,19.89,9318800469.31,801908639.90
2021-12-13,20.45,9540262929.67,576928395.21
2021-12-14,17.72,8308991985.67,857033700.37
2021-12-15,18.44,8585844806.92,753473483.39
2021-12-16,19.74,9157517750.16,1026687946.92
2021-12-17,18.83,8756919151.59,708572570.31
2021-12-18,18.34,8545458196.05,779501237.22
2021-12-19,19.57,9146243678.01,828419169.82
2021-12-20,18.95,8884211284.31,713738245.00
2021-12-21,18.93,8853744179.22,678479638.59
2021-12-22,19.52,9158362671.41,586472743.04
2021-12-23,20.03,9386304534.10,733811162.90
2021-12-24,22.24,10357913765.18,1129834157.56
2021-12-25,21.52,10058611936.02,872615100.42
2021-12-26,22.22,10382822617.29,574873835.28
2021-12-27,23.07,10771982258.57,1079329603.99
2021-12-28,23.08,10832344602.56,1088926755.62
2021-12-29,20.49,9634600563.41,1264730795.25
2021-12-30,19.76,9181750595.90,1073856704.74
2021-12-31,19.95,9297747672.20,913447747.28
2022-01-01,19.63,9194057554.95,884102750.43
2022-01-02,20.58,9610528460.34,651118902.68
2022-01-03,21.86,10211278702.99,949593874.37
2022-01-04,23.63,11030890730.80,1435339279.00
2022-01-05,23.71,11231834139.90,1752321397.63
2022-01-06,25.55,11981504017.52,3758897491.16
2022-01-07,25.38,11873010513.14,2931373196.34
2022-01-08,26.08,12184956682.30,3422348522.74
2022-01-09,25.54,12014973756.78,2492340060.85
2022-01-10,27.58,12872827685.00,3027212402.66
2022-01-11,27.92,13051210388.58,3061370213.45
2022-01-12,26.79,12653058024.36,2299438908.08
2022-01-13,26.84,12537118807.31,1792683188.32
2022-01-14,24.88,11697861570.48,1408989958.00
2022-01-15,25.71,11991189095.44,1191484439.68
2022-01-16,25.27,11821593986.56,904389438.47
2022-01-17,25.59,11986633887.13,899005454.89
2022-01-18,23.88,11153490468.45,852317733.70
2022-01-19,23.00,10755323175.95,866714075.64
2022-01-20,21.66,10157488328.28,907219034.04
2022-01-21,20.16,9486475312.76,870444023.93
2022-01-22,17.49,8206010369.77,1623808137.36
2022-01-23,15.88,7400645530.20,1785785829.26
2022-01-24,16.58,7742043504.63,1193625264.98
2022-01-25,15.65,7330310399.49,1501950863.54
2022-01-26,15.57,7269071889.26,989538764.05
