Day,Price,Market Cap,Volume
2021-09-01,69.12,6351894362.97,512938.67
2021-09-02,76.54,6981943279.49,13775990.81
2021-09-03,76.05,7164027422.24,183575798.74
2021-09-04,78.76,7416295713.01,8706585.72
2021-09-05,77.93,7331633841.18,16844009.63
2021-09-06,79.16,7410072043.36,2012851.72
2021-09-07,78.84,7387656175.46,15718720.50
2021-09-08,69.12,6582234494.66,86797808.21
2021-09-09,70.26,6332489687.38,37475452.91
2021-09-10,69.01,6175660555.02,18081971.79
2021-09-11,64.30,5749058891.42,3013214.06
2021-09-12,65.56,5717839428.02,126042040.51
2021-09-13,68.60,6003507221.41,5922185.27
2021-09-14,66.17,5688340834.77,92481355.81
2021-09-15,68.67,5761890386.10,114051301.68
2021-09-16,72.21,6387087310.30,341741905.28
2021-09-17,71.55,6255083963.59,98142208.49
2021-09-18,68.35,6039807020.92,68031988.92
2021-09-19,68.86,6075346061.01,3501502.03
2021-09-20,66.93,5910229871.31,9600793.02
2021-09-21,59.48,5389966777.26,139077307.04
2021-09-22,55.11,5146335491.02,10687188.49
2021-09-23,61.56,5882044718.73,149005572.96
2021-09-24,63.44,6077208769.48,3524903.19
2021-09-25,58.83,5634416383.55,32434736.68
2021-09-26,58.93,5597337378.01,693798.36
2021-09-27,61.59,5809531839.90,6309176.84
2021-09-28,59.21,5618286098.58,16434854.70
2021-09-29,56.52,5355202287.41,11517833.66
2021-09-30,57.13,5376260661.34,13475430.87
2021-10-01,60.35,5602538030.14,10155854.90
2021-10-02,66.40,6055338695.84,84118205.56
2021-10-03,67.98,6188215589.24,14680630.46
2021-10-04,68.72,5967420553.48,344438295.03
2021-10-05,68.16,5883250074.20,33500197.28
2021-10-06,70.58,6081657332.04,1404018.89
2021-10-07,71.95,5985715115.43,168983132.49
2021-10-08,72.08,5933724138.66,1071703.47
2021-10-09,71.54,5554569918.68,322736048.56
2021-10-10,77.52,5533581723.97,355.40
2021-10-11,68.60,5445774819.24,151956768.24
2021-10-12,71.19,5568463227.81,1260108.58
2021-10-13,70.25,5528610421.22,11214532.73
2021-10-14,72.32,5940306727.18,254222300.18
2021-10-15,76.13,6079786594.46,179825274.65
2021-10-16,77.93,6142240023.75,8606154.69
2021-10-17,77.11,6125596985.63,27002512.38
2021-10-18,77.20,6069523529.93,28801130.62
2021-10-19,75.06,5969287829.78,1272246.52
2021-10-20,77.79,6100866248.75,17689795.52
2021-10-21,83.61,6683792307.28,82887405.88
2021-10-22,81.66,6415636121.31,108019978.04
2021-10-23,80.05,6319571497.07,27370513.33
2021-10-24,83.90,6567270482.90,19144948.66
2021-10-25,82.28,6421813907.26,5332099.31
2021-10-26,84.88,6659570840.50,6331669.28
