Day,Price,Market Cap,Volume
2021-09-01,1.00,5860043255.77,518511065.71
2021-09-02,1.00,5873154201.05,550987100.24
2021-09-03,1.00,6060471958.00,677481159.22
2021-09-04,1.00,6100944794.13,442033471.55
2021-09-05,1.00,6112981421.64,319776466.48
2021-09-06,1.00,6147447306.27,267117101.39
2021-09-07,1.00,6187976964.39,430745860.90
2021-09-08,1.00,6216941541.42,838996756.26
2021-09-09,1.00,6231557363.12,563711069.23
2021-09-10,1.00,6232966612.40,344437002.46
2021-09-11,1.00,6155063054.24,366916403.96
2021-09-12,1.00,6283492128.47,261504318.25
2021-09-13,1.01,6305049657.65,271128076.57
2021-09-14,1.00,6305138406.23,401222112.22
2021-09-15,1.00,6286029153.09,259081823.06
2021-09-16,1.00,6286593816.75,268647847.92
2021-09-17,1.00,6311184287.60,359088348.06
2021-09-18,1.00,6337331910.87,339676895.77
2021-09-19,1.00,6330278299.36,257757805.83
2021-09-20,1.00,6341811746.29,274193198.39
2021-09-21,0.99,6087222920.22,875168548.13
2021-09-22,1.00,6059754074.40,649201399.61
2021-09-23,1.00,6025413162.64,421176270.76
2021-09-24,1.00,6094469527.77,296091093.80
2021-09-25,1.00,6046166699.94,531959022.06
2021-09-26,1.00,6064950516.09,345478859.78
2021-09-27,1.00,6079024252.34,363053947.97
2021-09-28,0.99,6175531614.41,633837230.99
2021-09-29,0.99,6183354056.39,460645517.28
2021-09-30,1.00,6191474518.73,408706153.74
2021-10-01,1.01,6199628073.47,658703252.69
2021-10-02,1.00,6219165305.01,485073514.50
2021-10-03,1.00,6219234788.63,274349855.55
2021-10-04,1.00,6272842279.33,284441879.10
2021-10-05,1.00,6290092662.67,466929749.82
2021-10-06,1.00,6313909657.59,476702216.63
2021-10-07,1.00,6414373277.84,614728812.96
2021-10-08,1.00,6446972671.48,397177241.30
2021-10-09,1.00,6493206763.06,382016557.16
2021-10-10,1.00,6537843670.10,267447013.78
2021-10-11,1.00,6543645497.91,317846194.36
2021-10-12,1.01,6554714017.89,462183444.70
2021-10-13,1.00,6607836165.15,591828425.53
2021-10-14,1.00,6638638659.36,1600165906.06
2021-10-15,1.00,6770612810.21,640218034.22
2021-10-16,1.00,6991089765.35,1283969082.24
2021-10-17,1.00,7027588272.92,523874799.76
2021-10-18,1.00,7011447930.46,458677358.08
2021-10-19,1.00,7041692491.74,531004990.96
2021-10-20,1.00,6965713282.24,431695939.25
2021-10-21,1.00,7151735466.69,633249213.24
2021-10-22,1.00,7375492355.71,886900777.31
2021-10-23,1.01,7391874597.10,533992834.31
