Day,Price,Market Cap,Volume
2021-09-01,0.28,36566091551.65,1560409724.36
2021-09-02,0.29,38342017497.33,1738116784.96
2021-09-03,0.30,38819265914.79,2699139125.41
2021-09-04,0.30,38818547693.74,2081922368.52
2021-09-05,0.30,39363399709.70,1964249165.76
2021-09-06,0.31,40951813825.57,2082920314.21
2021-09-07,0.31,40624959968.89,2245729272.35
2021-09-08,0.26,33371857562.90,4813878569.58
2021-09-09,0.26,33662035510.83,2760848633.93
2021-09-10,0.25,33171981999.83,1529800674.15
2021-09-11,0.24,31486963338.12,1562458807.01
2021-09-12,0.24,31643808716.06,1006708882.04
2021-09-13,0.25,33147948232.16,1276696516.52
2021-09-14,0.24,31092254135.58,1596229041.80
2021-09-15,0.24,31648603798.41,872222557.09
2021-09-16,0.25,32473677223.43,898438545.72
2021-09-17,0.24,31853439636.25,1067493819.71
2021-09-18,0.24,31640998451.23,1986733762.16
2021-09-19,0.24,31788925028.12,912228844.28
2021-09-20,0.23,30802148835.29,820705631.71
2021-09-21,0.21,27179947491.71,1920244276.87
2021-09-22,0.20,26210995473.49,1556838498.52
2021-09-23,0.22,29476367021.01,1753590767.55
2021-09-24,0.23,29706605970.01,993468486.16
2021-09-25,0.21,27662713842.54,1650842493.76
2021-09-26,0.21,27568061035.30,941382051.94
2021-09-27,0.21,27453142736.56,1069225816.72
2021-09-28,0.20,26298507457.34,756949506.48
2021-09-29,0.20,25854555238.76,770680216.90
2021-09-30,0.20,26244810643.70,793650712.76
2021-10-01,0.20,26892267860.92,772968140.06
2021-10-02,0.22,29264176784.54,1253107756.77
2021-10-03,0.22,28843582961.70,1018419282.25
2021-10-04,0.22,29235159255.82,962415744.88
2021-10-05,0.24,32067553483.06,3200327908.20
2021-10-06,0.25,33115303227.59,4068637354.38
2021-10-07,0.25,33034727302.68,4110248358.75
2021-10-08,0.24,32035841670.16,2758950037.04
2021-10-09,0.24,32012438945.12,1764985514.64
2021-10-10,0.25,32546913547.03,1347892632.64
2021-10-11,0.23,30206110262.03,1155512151.42
2021-10-12,0.23,30419356234.30,1283161881.01
2021-10-13,0.23,29817766315.57,1692336318.64
2021-10-14,0.23,30638244804.08,1257916342.81
2021-10-15,0.23,30658843960.73,1246214723.94
2021-10-16,0.24,30955860407.47,1697000571.20
2021-10-17,0.24,31422718666.87,1411776663.13
2021-10-18,0.24,31344062761.12,1339251268.41
2021-10-19,0.25,32573725269.26,4425113298.53
2021-10-20,0.25,32512665553.48,1653401802.69
2021-10-21,0.25,33806328664.94,1734041308.20
2021-10-22,0.24,32093653208.73,1710214523.07
2021-10-23,0.25,32506463986.97,1864736299.20
2021-10-24,0.25,33061597043.04,1578066915.82
2021-10-25,0.28,36687265384.89,4942300324.45
2021-10-26,0.27,34941224252.37,3340089767.20
2021-10-27,0.26,33859397596.51,2714016375.82
2021-10-28,0.24,31540178380.18,4746122252.66
2021-10-29,0.30,39511206991.49,18011898077.56
2021-10-30,0.29,38184788655.27,5883306861.09
2021-10-31,0.27,35341200120.79,3599197250.30
2021-11-01,0.28,36909621914.54,4382941810.96
2021-11-02,0.27,35921018083.47,2938224696.22
2021-11-03,0.27,36049337832.26,2448991837.18
2021-11-04,0.27,35494937228.64,2283948676.48
2021-11-05,0.26,34522303123.29,1890709184.87
