Day,Price,Market Cap,Volume
2021-09-01,169.63,3348073366.07,163487546.27
2021-09-02,176.53,3471675307.31,206240609.31
2021-09-03,171.76,3381726000.94,94373050.90
2021-09-04,174.61,3441089323.22,75749004.16
2021-09-05,172.93,3406415780.51,62303862.57
2021-09-06,175.61,3455567527.73,58510307.84
2021-09-07,180.40,3538723589.63,124115523.10
2021-09-08,159.27,3130822608.39,209858456.86
2021-09-09,172.56,3407051256.99,214051887.85
2021-09-10,204.10,4029054999.75,470854724.64
2021-09-11,237.98,4711310008.55,508912073.92
2021-09-12,228.73,4514875840.05,430255444.70
2021-09-13,271.16,5430338346.06,730519660.22
2021-09-14,262.60,5183879469.38,639068957.77
2021-09-15,282.92,5583730661.58,483573187.10
2021-09-16,258.43,5102483269.42,272371680.74
2021-09-17,266.78,5242552700.74,288264506.87
2021-09-18,241.94,4813475999.34,218191141.02
2021-09-19,247.76,4875429787.52,148158971.20
2021-09-20,225.97,4492727288.53,134551720.88
2021-09-21,185.43,3644979260.36,401573089.70
2021-09-22,198.35,3881898653.58,502337587.08
2021-09-23,230.49,4556102128.33,383856983.15
2021-09-24,246.53,4879537270.90,336973701.97
2021-09-25,237.21,4716193072.57,356141203.33
2021-09-26,219.54,4340179291.78,158668992.28
2021-09-27,223.39,4422827696.01,205194669.88
2021-09-28,212.73,4238857756.13,131649050.19
2021-09-29,199.56,3960270322.48,158281668.60
2021-09-30,203.52,4012334141.89,163877859.88
2021-10-01,209.16,4146572864.52,130783071.25
2021-10-02,241.61,4790525484.44,262528444.65
2021-10-03,247.66,4915642870.03,211547410.75
2021-10-04,253.95,5036644026.50,164292519.76
2021-10-05,241.18,4790066286.52,180351802.53
2021-10-06,246.09,4899292082.00,159492020.78
2021-10-07,230.43,4579446082.21,174218395.39
2021-10-08,242.94,4813030710.74,139138359.24
2021-10-09,256.46,5092958425.90,336740222.76
2021-10-10,259.80,5160697874.56,90935736.54
2021-10-11,239.85,4758261619.44,106042838.92
2021-10-12,248.62,4904536537.52,141023018.43
2021-10-13,235.55,4690358787.01,153767191.44
2021-10-14,242.31,4824842192.41,129344806.53
2021-10-15,242.13,4798554273.82,74333572.09
2021-10-16,238.01,4723801609.14,98017347.33
2021-10-17,242.43,4819322202.33,83989891.81
2021-10-18,236.21,4704824395.35,69384815.15
2021-10-19,229.62,4593351665.94,72326561.05
2021-10-20,230.17,4586217750.50,81079058.13
2021-10-21,240.86,4802297506.20,103811020.69
2021-10-22,249.33,4967639441.05,175977197.57
2021-10-23,274.83,5483078957.24,257589778.34
2021-10-24,271.84,5423958620.22,92528204.98
2021-10-25,284.86,5680303829.20,185976966.18
2021-10-26,295.97,5903735891.15,128386080.24
2021-10-27,274.16,5473197570.63,137162191.65
2021-10-28,246.97,4931736708.58,205142602.07
2021-10-29,257.17,5147637543.60,128363837.65
2021-10-30,269.22,5363045501.99,101464581.76
2021-10-31,259.38,5185588253.01,68512421.10
2021-11-01,271.50,5433353447.59,97384022.05
2021-11-02,269.86,5402709365.96,120943148.99
2021-11-03,272.47,5404856510.35,84755225.21
2021-11-04,305.82,5965399614.31,252933307.16
2021-11-05,317.26,6326299743.24,360832344.19
2021-11-06,314.79,6296407067.85,196142176.69
2021-11-07,317.31,6335881346.37,108414561.98
2021-11-08,316.47,6344601832.78,127045795.69
2021-11-09,309.82,6242715664.25,123141416.96
2021-11-10,317.76,6369571779.86,116089263.42
2021-11-11,313.03,6257616842.41,283073519.48
2021-11-12,318.84,6393897739.77,158137339.43
2021-11-13,325.86,6492278256.76,121934689.09
2021-11-14,323.86,6490448500.53,105258219.26
2021-11-15,321.30,6404613190.55,82147702.22
2021-11-16,316.24,6340235023.52,106661696.36
2021-11-17,305.18,6127454721.00,210940558.01
2021-11-18,311.69,6181192698.33,134960238.83
2021-11-19,308.35,6200392270.70,231509887.75
2021-11-20,353.01,7093053538.36,421862943.06
2021-11-21,393.85,7915022083.45,547615936.89
2021-11-22,440.89,8865017750.30,913380636.88
2021-11-23,488.71,9812675697.69,1141537077.58
2021-11-24,475.72,9578333881.09,1275198558.04
2021-11-25,456.88,9189811328.39,774425742.49
2021-11-26,437.77,8804145488.18,436876710.18
2021-11-27,397.33,7986371361.13,367920087.32
2021-11-28,425.28,8557672769.59,311975601.12
2021-11-29,411.27,8278597289.67,309776419.74
2021-11-30,395.33,7978435098.38,222236993.59
2021-12-01,375.93,7585903022.14,240032069.35
2021-12-02,408.44,8246870461.16,472200700.38
2021-12-03,356.76,7240747951.85,680055619.08
2021-12-04,345.08,6946638479.21,371516971.66
2021-12-05,307.83,6202394873.52,620358743.70
2021-12-06,287.37,5792025807.40,251354492.99
2021-12-07,287.57,5802488984.17,261251973.78
2021-12-08,286.09,5771640192.12,186082753.75
2021-12-09,296.12,5978315572.21,152760179.52
2021-12-10,268.08,5464786550.15,296877390.98
2021-12-11,257.97,5294729419.87,213610625.43
2021-12-12,255.18,5151445840.72,152419277.95
2021-12-13,264.83,5346970556.21,122686564.90
2021-12-14,234.77,4729456255.01,199616365.95
2021-12-15,254.23,5148338506.82,168831717.42
2021-12-16,295.59,5966270690.34,385378948.51
2021-12-17,267.71,5422596298.22,746325451.69
2021-12-18,256.01,5166476469.22,385013040.80
2021-12-19,254.72,5174868990.15,216220449.50
2021-12-20,244.79,5013026360.56,186360169.94
2021-12-21,237.05,4828153379.03,219746016.23
2021-12-22,241.06,4887947263.56,184144225.74
2021-12-23,247.10,5009058128.03,186039080.52
2021-12-24,262.10,5289310906.62,229863528.01
2021-12-25,250.55,5072193506.95,174372349.60
2021-12-26,256.36,5218472909.47,92158005.60
2021-12-27,259.04,5242819320.12,119233582.41
2021-12-28,267.42,5438327594.56,218431732.38
2021-12-29,242.10,4943096199.63,204295437.98
2021-12-30,237.10,4783553217.46,137818893.27
2021-12-31,239.44,4861483355.88,131020914.54
2022-01-01,238.86,4874028144.05,88983386.30
2022-01-02,245.48,4957335456.16,77805897.40
2022-01-03,240.00,4886216757.76,88824204.51
2022-01-04,236.96,4833193098.19,100010410.48
2022-01-05,237.25,4863176005.68,131857166.48
2022-01-06,215.96,4408277527.50,303235794.63
2022-01-07,213.10,4349833829.17,196620339.95
2022-01-08,195.92,3984379692.44,195317644.93
2022-01-09,190.57,3891721376.52,124024945.20
2022-01-10,198.02,4026602347.83,100698718.78
2022-01-11,191.47,3894994962.73,142584277.55
2022-01-12,204.76,4171630703.32,190185419.65
2022-01-13,215.31,4388785756.29,153328960.09
2022-01-14,195.92,4005068153.54,146916450.68
2022-01-15,199.41,4060286534.55,122350782.32
2022-01-16,200.59,4091789405.26,82795081.50
2022-01-17,195.34,3982407138.20,106925592.63
2022-01-18,187.19,3814128859.33,122619111.89
2022-01-19,179.27,3664548994.56,163871363.57
2022-01-20,173.47,3541163495.04,105331328.86
2022-01-21,167.25,3439027128.04,125370752.07
2022-01-22,137.38,2825673453.99,219251808.66
2022-01-23,125.34,2551223015.46,250199554.61
2022-01-24,134.02,2732744966.87,124819855.22
2022-01-25,131.34,2692958909.82,191808499.38
2022-01-26,141.12,2879779323.07,165120550.12
2022-01-27,140.43,2903091140.33,205516926.98
2022-01-28,141.88,2889233402.04,134349250.84
2022-01-29,144.20,2948460051.86,99908702.07
2022-01-30,149.23,3037802798.00,90557620.51
2022-01-31,141.38,2895392785.18,88620985.73
2022-02-01,146.28,2984392337.04,88492333.71
2022-02-02,150.93,3101677420.83,117028429.50
2022-02-03,141.48,2897158136.33,124971140.52
2022-02-04,138.85,2848801439.20,93872495.64
2022-02-05,153.98,3120967694.62,117667391.85
2022-02-06,160.86,3316149217.98,133964977.59
2022-02-07,166.17,3395272027.42,107238074.96
2022-02-08,176.41,3625161742.34,199022421.67
2022-02-09,173.07,3563127177.22,179805369.10
2022-02-10,178.42,3665846291.18,113169725.25
2022-02-11,177.04,3631711677.34,235634387.58
2022-02-12,194.75,3987465732.29,398747086.91
2022-02-13,199.89,4078066076.53,308973658.97
2022-02-14,191.77,3949709196.46,197231003.68
2022-02-15,187.53,4107256858.84,167205315.66
2022-02-16,194.35,4257432873.99,163928276.34
2022-02-17,190.97,4200729650.60,146294004.54
2022-02-18,170.89,3740115313.34,170340629.78
2022-02-19,164.63,3619973681.66,150565960.42
2022-02-20,162.67,3558690448.26,95702276.36
2022-02-21,155.72,3427141635.31,95038753.54
2022-02-22,146.65,3220567905.25,187326271.35
2022-02-23,151.62,3324162333.01,143049282.94
2022-02-24,147.24,3236909135.79,122618308.57
2022-02-25,134.72,2950807759.01,308993647.51
2022-02-26,148.87,3260427763.39,161135149.09
2022-02-27,142.03,3113800321.43,146512064.52
2022-02-28,136.37,2992164947.05,132242456.21
2022-03-01,150.57,3303502859.55,174592574.38
