Day,Price,Market Cap,Volume
2021-09-01,3440.56,403657783560.10,32201644522.64
2021-09-02,3790.61,444243407062.37,34465100678.00
2021-09-03,3793.30,444936758974.60,28115776510.37
2021-09-04,3936.16,462019852288.09,30463347266.43
2021-09-05,3894.94,456929768632.25,24002848309.42
2021-09-06,3950.27,463973074693.07,19760598542.30
2021-09-07,3943.26,463012228435.44,20190616165.86
2021-09-08,3440.34,404516339491.49,42541561062.45
2021-09-09,3496.86,413866162089.44,34175479497.52
2021-09-10,3435.98,403936419964.89,25796050344.03
2021-09-11,3209.92,376789025177.24,24111446202.20
2021-09-12,3268.10,383321475836.22,19742335705.04
2021-09-13,3417.84,402834673220.72,18149841767.14
2021-09-14,3301.19,387934440817.16,25897933725.98
2021-09-15,3425.25,402557959131.82,21080767347.83
2021-09-16,3595.96,421477522819.94,18985547836.19
2021-09-17,3573.31,419510540250.73,22391476966.88
2021-09-18,3412.18,401297385415.45,19039612529.44
2021-09-19,3427.58,403306688199.63,16278153590.13
2021-09-20,3335.88,392513622186.48,14500103698.49
2021-09-21,2977.32,348966852277.94,28477674119.57
2021-09-22,2744.11,322261202754.77,32062935710.17
2021-09-23,3074.12,359840797180.94,27084409011.06
2021-09-24,3159.27,371681653192.38,19536554032.08
2021-09-25,2930.74,349627373001.02,28504692815.76
2021-09-26,2946.97,347010586155.92,22533679023.57
2021-09-27,3063.32,359680654321.76,24916718280.69
2021-09-28,2939.74,346015184170.88,20890327693.72
2021-09-29,2798.98,330646942649.07,18975426962.50
2021-09-30,2855.61,335476370747.34,17522543131.58
2021-10-01,3013.49,355017980604.51,19400423828.62
2021-10-02,3305.11,388950236002.14,24368105704.25
2021-10-03,3393.92,399455864987.66,21335051735.33
2021-10-04,3426.39,403971441903.56,18130363405.69
2021-10-05,3390.31,400955543856.19,19898468513.48
2021-10-06,3520.34,415494260964.53,19024921944.49
2021-10-07,3592.18,423560000564.38,24709364134.24
2021-10-08,3594.92,423610266229.87,21186801824.57
2021-10-09,3558.55,419918377734.60,18144469093.78
2021-10-10,3588.08,421836191767.03,13815631715.45
2021-10-11,3431.02,404765054558.19,18106607784.26
2021-10-12,3537.84,415159189478.83,20424407322.58
2021-10-13,3498.11,412579624206.77,20207646949.24
2021-10-14,3605.65,425077639326.61,18300885349.64
2021-10-15,3794.52,447060207235.15,21679175672.92
2021-10-16,3885.64,457796523350.22,23144188055.38
2021-10-17,3854.50,453064999520.13,18154520779.66
2021-10-18,3854.22,453191180361.09,17263171427.45
2021-10-19,3752.62,443346920004.58,18931081929.45
2021-10-20,3884.59,457653555321.41,17449609317.98
2021-10-21,4170.11,491589810670.45,21926381355.42
2021-10-22,4074.86,481528471021.38,50122173541.06
2021-10-23,3990.71,471642481174.71,21674013294.75
2021-10-24,4179.44,493125402509.43,16499701301.35
2021-10-25,4094.94,482164548780.29,16494229912.46
2021-10-26,4230.21,499491060520.26,17031857290.34
2021-10-27,4152.57,489450382752.54,18925943956.18
2021-10-28,3944.09,466683206492.38,28770879596.16
2021-10-29,4288.10,505970778337.47,29989860066.02
2021-10-30,4422.94,521746545883.68,25462638679.97
2021-10-31,4324.61,511066583044.33,15937401968.58
2021-11-01,4292.04,507889381626.99,18516249996.19
2021-11-02,4330.55,511441678721.35,19235929520.31
2021-11-03,4596.59,539884557845.20,22135519614.73
2021-11-04,4607.70,543311992233.98,22744538221.14
2021-11-05,4550.01,534623910067.64,19583405367.27
2021-11-06,4494.80,531116824617.72,16182205113.44
2021-11-07,4527.10,534139628777.63,17697965751.16
2021-11-08,4626.63,546469946549.38,14665949273.05
2021-11-09,4815.00,571665766496.09,21226347241.36
2021-11-10,4742.08,560964266378.83,20669583046.29
2021-11-11,4641.53,548699344220.54,25152889711.58
2021-11-12,4732.92,560226056358.65,19048319256.42
2021-11-13,4685.11,552938385233.94,20883749031.79
2021-11-14,4666.50,551228905630.10,13954188613.81
2021-11-15,4652.95,546963335748.60,13927559432.55
2021-11-16,4583.21,541673876615.10,17939105212.67
2021-11-17,4243.35,501391963927.79,30162258590.69
2021-11-18,4302.80,507387229348.56,23532734478.93
2021-11-19,3993.85,472465696561.26,23825764061.57
2021-11-20,4317.60,509116804761.84,21398451638.78
2021-11-21,4436.19,524536655944.93,16407598048.00
2021-11-22,4319.36,514388218179.74,15090104727.28
2021-11-23,4101.06,485391988431.90,21563803786.50
2021-11-24,4355.42,515843824526.40,23393688031.32
2021-11-25,4269.44,505609296276.33,19881953842.36
2021-11-26,4515.84,535082405000.05,20241529505.69
2021-11-27,4048.31,479414339295.46,29276733766.84
2021-11-28,4084.09,483997326749.39,16500509901.66
2021-11-29,4290.09,508385171334.44,17408610005.87
2021-11-30,4444.53,527331112023.33,20150915711.00
2021-12-01,4637.12,549758919636.06,31531135168.77
2021-12-02,4589.61,544051345075.85,27957934803.56
2021-12-03,4519.44,537814995667.84,22586539837.22
2021-12-04,4240.16,502863051143.02,27620915094.00
2021-12-05,4101.66,485429065737.46,40547950440.47
2021-12-06,4198.57,497049834886.78,25848780907.96
2021-12-07,4347.62,515778007028.57,30676805365.75
2021-12-08,4310.57,511409310852.72,21808603057.76
2021-12-09,4431.54,525850414062.19,19661953642.45
2021-12-10,4153.33,494841071220.94,22680202938.51
2021-12-11,3918.20,467266449092.32,26799083668.89
2021-12-12,4079.81,484278596802.51,19796149221.60
2021-12-13,4135.84,490316653455.37,14046344322.67
2021-12-14,3782.90,449137302105.94,24089144863.40
2021-12-15,3858.16,457658155854.81,20766055169.54
2021-12-16,4015.72,476630620294.28,26881290260.58
2021-12-17,3971.56,471365651341.30,19166579837.02
2021-12-18,3886.75,462267569583.40,23209497898.09
2021-12-19,3966.43,471195598700.44,18728700443.97
2021-12-20,3928.84,467396185408.52,15960000522.48
2021-12-21,3950.48,471319155562.15,21439121593.04
2021-12-22,4036.55,480570348192.47,16630181836.72
2021-12-23,3992.59,475334762859.67,14022344430.18
2021-12-24,4113.53,488290658809.15,18571462177.27
2021-12-25,4055.12,482498690510.26,13351470832.63
2021-12-26,4110.57,488792890035.21,11869342790.22
2021-12-27,4075.03,484795501758.75,11815773894.02
2021-12-28,4045.05,481030381194.19,11725230819.88
2021-12-29,3807.36,453976220406.22,18009599978.90
2021-12-30,3644.41,432082393736.34,15528813680.46
2021-12-31,3714.95,441654436877.80,13445245167.23
2022-01-01,3686.40,439790867552.77,14298378834.36
2022-01-02,3780.32,449804685410.73,9948120591.38
2022-01-03,3835.40,456852400304.93,10069690529.90
2022-01-04,3769.40,448609586227.48,12462872357.26
2022-01-05,3794.91,454574318762.61,13853786397.22
2022-01-06,3556.91,424088794962.49,18782873941.22
2022-01-07,3416.83,407652437129.13,24467182063.01
2022-01-08,3201.79,381283293110.79,24359369448.53
2022-01-09,3101.04,369734313550.99,15966769090.79
2022-01-10,3156.97,375219467789.37,11906478540.27
