Day,Price,Market Cap,Volume
2021-09-01,0.72,1840967827.94,602752178.59
2021-09-02,0.88,2226922547.97,752330868.78
2021-09-03,0.85,2163513894.25,484845306.43
2021-09-04,0.96,2444800446.26,531945035.91
2021-09-05,1.07,2691677682.17,904528464.92
2021-09-06,1.20,3057335091.37,790069314.71
2021-09-07,1.40,3582621704.80,1051797582.43
2021-09-08,1.41,3586901905.56,2704111683.95
2021-09-09,1.56,4050558279.65,1732637548.07
2021-09-10,1.66,4214437559.68,1817520577.92
2021-09-11,1.50,3803587189.45,874254490.70
2021-09-12,1.54,3905971376.78,730557226.83
2021-09-13,1.45,3703795582.27,467362603.66
2021-09-14,1.31,3333223611.60,557120425.11
2021-09-15,1.20,3030569751.09,554203947.94
2021-09-16,1.44,3663895754.70,911087260.41
2021-09-17,1.32,3348089244.20,560734222.65
2021-09-18,1.25,3195796699.93,384109546.06
2021-09-19,1.34,3365328264.14,424940799.21
2021-09-20,1.45,3687157041.51,537978501.05
2021-09-21,1.14,2881075160.27,836257709.84
2021-09-22,0.98,2466037900.38,623011853.37
2021-09-23,1.24,3151122430.92,615743448.87
2021-09-24,1.26,3186634822.23,491983400.13
2021-09-25,1.19,3031419123.08,563048423.54
2021-09-26,1.25,3160129114.73,634371982.68
2021-09-27,1.18,2998710106.20,461646183.53
2021-09-28,1.28,3248267834.94,612646588.26
2021-09-29,1.19,3027156511.34,629938477.95
2021-09-30,1.19,3027821254.75,423350774.77
2021-10-01,1.21,3062318452.90,312828971.27
2021-10-02,1.42,3605839485.87,494596883.07
2021-10-03,1.47,3720764460.58,397346769.50
2021-10-04,1.47,3741785456.88,395735536.78
2021-10-05,1.40,3578887502.79,373145507.48
2021-10-06,1.41,3578491533.43,257943838.69
2021-10-07,1.60,4035392439.17,565494938.61
2021-10-08,2.04,5188644586.29,2041955639.19
2021-10-09,2.29,5853283045.26,3010318624.51
2021-10-10,2.17,5550829942.27,993363569.87
2021-10-11,2.04,5199713376.65,705914355.22
2021-10-12,2.33,5911306774.19,1038690448.17
2021-10-13,2.10,5335428408.95,788701319.56
2021-10-14,2.01,5108498375.23,566942607.62
2021-10-15,2.03,5162798734.30,446841015.08
2021-10-16,1.94,4932711336.49,487043994.09
2021-10-17,2.15,5474686544.32,483197480.12
2021-10-18,2.29,5803329248.44,943404060.64
2021-10-19,2.22,5683192976.98,500450546.40
2021-10-20,2.38,6054416248.01,822969621.54
2021-10-21,2.44,6128300983.02,722289450.47
2021-10-22,2.23,5658932871.37,588841169.43
2021-10-23,2.62,6645678568.31,894019596.85
2021-10-24,2.56,6505665169.42,585318852.47
2021-10-25,2.71,6862379972.20,814793409.30
2021-10-26,3.03,7642834323.77,879919734.82
2021-10-27,3.14,8013289050.51,1690129037.59
2021-10-28,3.16,8074669955.32,2112384253.60
2021-10-29,2.94,7530707322.70,1822505734.92
2021-10-30,2.87,7312412019.39,807617329.78
2021-10-31,2.64,6720415282.54,831159400.61
2021-11-01,2.87,7303270121.96,626160737.51
2021-11-02,2.71,6859059941.34,597681112.51
2021-11-03,2.72,6909459156.40,531869719.95
2021-11-04,2.66,6734165393.09,700674219.82
2021-11-05,2.75,6731998978.16,730808367.38
2021-11-06,2.67,6767395092.05,943692896.25
2021-11-07,2.78,7050254602.73,531423905.88
2021-11-08,2.83,7202410017.52,446878668.55
2021-11-09,3.14,7956214740.28,945698324.57
2021-11-10,2.87,7298658423.76,649190143.48
2021-11-11,2.62,6648045923.82,1044055843.76
2021-11-12,2.61,6669038786.11,503141503.85
2021-11-13,2.65,6718556397.13,705979799.46
2021-11-14,2.63,6699591167.83,370558723.40
2021-11-15,2.60,6576188677.19,331196901.18
2021-11-16,2.48,6303706754.42,327489508.14
2021-11-17,2.22,5651151400.11,759265162.81
2021-11-18,2.15,5464810167.86,570689282.71
2021-11-19,1.84,4645038047.20,914553001.52
2021-11-20,2.27,5719584363.84,867466453.14
2021-11-21,2.19,5549546635.61,514518341.72
2021-11-22,2.10,5395989828.95,481509952.13
2021-11-23,1.95,4966166232.43,443170504.15
2021-11-24,2.31,5858570700.61,1338139559.90
2021-11-25,2.59,6538355717.42,1252338057.04
2021-11-26,2.47,6286473126.67,798662792.15
2021-11-27,2.11,5356959207.94,931222017.92
2021-11-28,2.07,5235423181.09,374770636.74
2021-11-29,2.11,5361405146.50,435868852.46
2021-11-30,2.16,5524114813.93,357531316.73
2021-12-01,2.14,5476963296.09,487308524.53
2021-12-02,2.14,5443973678.77,434329834.66
2021-12-03,2.06,5249548452.36,359886171.36
2021-12-04,1.99,5073343845.71,418588573.03
2021-12-05,1.72,4342922599.87,1116641219.07
2021-12-06,1.53,3905478226.00,447390534.02
2021-12-07,1.60,4068738943.87,758178547.74
2021-12-08,1.60,4054531662.82,467918105.75
2021-12-09,1.62,4110539056.80,355733465.71
