Day,Price,Market Cap,Volume
2021-09-01,1.00,311968668.68,17403652.62
2021-09-02,1.00,316518078.93,6817326.84
2021-09-03,1.00,313349339.71,3740532.87
2021-09-04,1.00,313252370.34,4753628.10
2021-09-05,1.00,315188681.76,4212526.89
2021-09-06,1.00,313168688.18,4078711.25
2021-09-07,1.01,317235260.08,5552788.03
2021-09-08,1.00,315777795.96,19005921.46
2021-09-09,1.00,316077323.75,6735248.06
2021-09-10,1.00,317237545.75,14768177.69
2021-09-11,1.00,316889820.77,10034222.77
2021-09-12,0.99,315083413.04,2499210.69
2021-09-13,1.00,316935400.07,10748543.41
2021-09-14,1.00,323889079.54,15748565.85
2021-09-15,1.00,323188406.62,8844255.45
2021-09-16,1.01,325173046.79,9127708.33
2021-09-17,1.00,329452514.34,8833695.31
2021-09-18,1.00,329772091.71,16494231.47
2021-09-19,1.00,337493046.51,6477819.72
2021-09-20,1.00,342108477.03,15386778.93
2021-09-21,0.99,335246326.02,22321865.59
2021-09-22,1.00,334550284.53,13396621.65
2021-09-23,1.00,340069594.50,15224600.46
2021-09-24,1.00,339521492.31,5801873.37
2021-09-25,1.01,341904204.36,21795284.87
2021-09-26,1.00,341277604.50,17655701.63
2021-09-27,1.01,341934261.27,7346808.07
2021-09-28,0.99,335861137.53,8246473.13
2021-09-29,0.99,346311099.95,6961541.99
2021-09-30,1.01,352350388.64,9044957.32
2021-10-01,1.00,350182642.56,5872185.71
2021-10-02,1.00,351257107.08,12570601.82
2021-10-03,0.99,347853608.32,3611816.97
2021-10-04,1.00,352306858.03,6632145.22
2021-10-05,1.00,352247441.33,10920497.53
2021-10-06,1.01,352178689.66,9353216.58
2021-10-07,1.01,368483795.41,8064037.14
2021-10-08,1.00,371998485.37,8311012.18
2021-10-09,1.00,383442463.98,8863012.94
2021-10-10,1.01,394757249.83,6531322.55
2021-10-11,1.00,393876895.04,8834822.68
2021-10-12,1.01,396194349.57,13613177.82
2021-10-13,1.01,404640035.99,17378805.40
2021-10-14,1.00,407923046.96,9753112.83
2021-10-15,1.01,423892655.25,12908027.87
2021-10-16,1.00,423496680.29,61119510.12
2021-10-17,1.00,443610323.12,15486803.67
2021-10-18,1.00,451312638.11,14857935.23
2021-10-19,1.00,450186366.85,11355006.22
2021-10-20,1.00,464204327.40,10806683.94
2021-10-21,1.00,465295241.83,5131556.71
2021-10-22,1.01,480415967.85,25466646.25
2021-10-23,1.00,477300918.03,7727957.29
2021-10-24,1.02,497980852.79,7289822.39
2021-10-25,1.02,494362702.71,13174435.71
2021-10-26,1.00,505372285.19,31431950.64
2021-10-27,1.00,522062503.18,77090298.61
2021-10-28,1.01,540679642.78,27602889.51
2021-10-29,1.01,553654574.09,24298282.51
2021-10-30,1.00,592032323.07,11893971.72
2021-10-31,1.00,608540794.89,6508064.90
2021-11-01,1.00,605267446.55,8029168.98
2021-11-02,1.00,621172758.06,5655275.06
2021-11-03,1.01,628144621.93,20093322.72
2021-11-04,1.00,648333169.09,12069274.45
2021-11-05,1.01,656850919.00,16578380.10
2021-11-06,1.00,659468427.91,9294285.55
2021-11-07,1.01,679978906.21,9129191.23
2021-11-08,1.00,682910641.31,16324741.85
2021-11-09,1.01,733686620.63,6458765.26
2021-11-10,1.02,821401545.12,4264425.85
2021-11-11,1.01,839166784.49,7075104.25
2021-11-12,1.01,851124606.93,27192304.22
2021-11-13,1.01,900275773.06,32260726.21
2021-11-14,1.02,947821381.87,2548234.69
2021-11-15,1.01,950984283.61,19263962.71
2021-11-16,1.01,971357708.05,21738203.77
2021-11-17,1.01,997474396.83,17662999.29
2021-11-18,1.01,997856219.21,14755873.47
2021-11-19,1.00,1023451653.50,14949470.27
2021-11-20,1.00,1060986962.97,21859515.61
2021-11-21,1.01,1092749946.17,7787627.20
2021-11-22,1.00,1100411861.42,29971156.02
2021-11-23,1.00,1121427262.46,42391639.02
2021-11-24,1.01,1136634146.86,25338132.51
2021-11-25,1.00,1137805665.47,29021602.24
2021-11-26,1.00,1142070885.58,16100126.84
2021-11-27,0.99,1127907112.67,31123923.69
2021-11-28,1.00,1154641137.77,14516922.92
2021-11-29,1.02,1203069212.44,34339784.88
2021-11-30,1.01,1218031971.46,48167696.92
2021-12-01,0.99,1229042712.69,78527887.98
2021-12-02,1.02,1248504712.52,50112212.48
2021-12-03,1.00,1253104894.65,54733679.30
2021-12-04,1.00,1260437333.53,51159163.03
2021-12-05,1.00,1256693565.83,39321587.49
2021-12-06,1.00,1262298737.04,21580293.94
2021-12-07,1.01,1290794247.73,44011240.51
2021-12-08,1.01,1349672579.86,22088403.52
2021-12-09,1.00,1374271206.04,20782581.05
2021-12-10,1.00,1426657277.31,35113852.97
2021-12-11,1.00,1417503855.36,28390080.20
2021-12-12,1.01,1436589634.79,17012188.61
2021-12-13,1.00,1466781183.54,21508115.63
2021-12-14,1.00,1485756753.40,21191333.03
2021-12-15,1.01,1488977346.06,19520519.91
2021-12-16,1.00,1486063161.72,20608833.82
2021-12-17,1.00,1479785955.48,13908522.12
2021-12-18,1.00,1486690936.56,35720372.67
2021-12-19,1.00,1507227236.53,31502642.63
2021-12-20,1.00,1510761615.35,11016603.74
2021-12-21,1.01,1518390282.25,19128249.46
2021-12-22,1.00,1516939017.71,21139122.91
2021-12-23,1.00,1539821005.55,17579097.83
2021-12-24,1.01,1613748386.69,21909731.79
2021-12-25,1.00,1621135015.62,20416017.26
2021-12-26,1.00,1621146229.42,11621533.02
2021-12-27,1.00,1627273416.82,12798042.83
2021-12-28,0.99,1613753859.93,25379887.66
2021-12-29,1.00,1675551287.60,22598457.66
2021-12-30,1.00,1738003392.23,27628773.86
2021-12-31,1.01,1769768653.24,50708874.11
2022-01-01,1.00,1812050599.74,35336768.53
2022-01-02,1.01,1832826729.09,34532089.09
2022-01-03,1.01,1867007114.19,23618341.51
2022-01-04,1.01,1900565770.23,37173335.78
2022-01-05,1.01,1947057933.85,39065898.11
2022-01-06,1.00,1933685675.70,46024766.43
2022-01-07,1.00,1933321374.79,38032134.06
2022-01-08,1.00,1931540731.65,49366503.50
2022-01-09,1.00,1919668588.04,34902355.34
2022-01-10,1.00,1922085616.30,22585490.63
2022-01-11,1.00,2021057558.81,42732160.00
2022-01-12,1.00,2094948052.17,34686918.96
2022-01-13,1.00,2093556970.58,27947804.63
2022-01-14,1.00,2117560700.45,42290617.06
2022-01-15,1.00,2105483210.94,25484751.59
2022-01-16,1.00,2168544540.33,14560810.75
2022-01-17,1.01,2175366519.34,23198556.87
2022-01-18,1.00,2226496053.90,58589285.42
2022-01-19,1.00,2232309146.11,36159590.75
2022-01-20,1.00,2408301934.95,31496658.04
2022-01-21,1.00,2649180732.92,36704181.08
2022-01-22,1.00,2643893400.15,51180667.27
2022-01-23,1.01,2588094909.99,55668195.31
2022-01-24,1.01,2655498190.43,23619316.50
2022-01-25,1.01,2650487214.81,44501845.61
2022-01-26,1.00,2641741789.38,22265649.59
2022-01-27,1.00,2638428645.12,27923223.78
2022-01-28,1.01,2649326084.67,29707802.88
2022-01-29,1.01,2634186935.81,32047082.95
2022-01-30,1.00,2639673376.56,15897546.60
2022-01-31,1.00,2646560817.31,12581248.91
2022-02-01,1.00,2641439437.21,20458594.41
2022-02-02,1.01,2653710654.09,15136680.93
2022-02-03,1.00,2634595186.97,13646647.64
2022-02-04,1.00,2655124280.97,16009955.29
2022-02-05,1.00,2644039980.44,19782251.33
2022-02-06,1.00,2659442833.16,11584099.36
2022-02-07,1.00,2658162366.85,12689085.79
2022-02-08,1.00,2639062527.26,7893198.72
2022-02-09,1.00,2658683405.48,20260989.19
2022-02-10,1.00,2649126715.28,18322381.02
2022-02-11,1.00,2642022956.45,21954635.79
2022-02-12,1.00,2654269059.61,18887627.57
2022-02-13,1.00,2654033732.30,26620763.58
2022-02-14,1.00,2654538026.14,13547452.13
2022-02-15,1.00,2655244959.17,25556529.73
2022-02-16,1.00,2662890957.89,18910630.30
2022-02-17,1.00,2647291436.92,20133820.69
2022-02-18,1.00,2653714319.70,14297647.08
2022-02-19,1.00,2661037759.45,20133602.92
2022-02-20,1.00,2657757365.06,19748916.31
2022-02-21,1.00,2656887106.82,16734572.47
2022-02-22,1.00,2648273764.76,22411108.29
2022-02-23,1.00,2664065456.67,20718467.84
2022-02-24,1.00,2654383616.15,20730696.45
2022-02-25,1.00,2658337900.88,68568235.14
2022-02-26,1.00,2798110198.59,60637573.81
2022-02-27,1.00,2807564947.16,35309716.34
2022-02-28,1.00,2861508206.42,36336182.36
2022-03-01,1.00,2860174081.30,21740966.06
