Day,Price,Market Cap,Volume
2021-09-01,63.48,9965045197.00,558534170.31
2021-09-02,66.12,10377740775.79,436503325.71
2021-09-03,64.97,10236235392.15,413659389.26
2021-09-04,65.75,10294746398.98,490745552.67
2021-09-05,77.24,11953087587.52,1112324047.77
2021-09-06,79.50,12480651303.80,1457349932.78
2021-09-07,79.91,12545837512.66,1165893661.14
2021-09-08,61.28,9736849779.84,1425842041.56
2021-09-09,60.75,9731981634.03,827321113.17
2021-09-10,60.69,9637769957.44,747438418.31
2021-09-11,56.80,9019388354.74,580267766.05
2021-09-12,57.88,9405063227.51,476385308.21
2021-09-13,59.74,9749379071.41,400821817.11
2021-09-14,55.33,8996697138.29,425224378.00
2021-09-15,57.07,9283635386.24,309673026.22
2021-09-16,61.53,9987937695.49,350534420.90
2021-09-17,58.14,9463924069.15,298412659.33
2021-09-18,56.50,9220429728.46,242537438.76
2021-09-19,58.66,9554653607.24,299369170.60
2021-09-20,57.23,9325525001.66,184400858.54
2021-09-21,47.70,7719374931.50,457290471.49
2021-09-22,44.73,7202623324.35,354064277.41
2021-09-23,49.93,8118611368.37,308258500.95
2021-09-24,50.72,8261160625.79,271396683.32
2021-09-25,45.98,7467680264.95,398828990.14
2021-09-26,45.85,7458043542.59,199539363.75
2021-09-27,43.77,7129910076.04,359384281.40
2021-09-28,42.46,7103819290.55,267122162.43
2021-09-29,40.83,6811392789.50,184749107.00
2021-09-30,44.54,7349890406.44,279108346.34
2021-10-01,45.10,7512523067.95,225464935.99
2021-10-02,52.25,8660925810.20,354441253.95
2021-10-03,49.70,8256411007.11,257806256.10
2021-10-04,50.38,8388136131.06,232805698.99
2021-10-05,48.93,8183424093.12,252143797.08
2021-10-06,54.55,9155070183.72,689989014.37
2021-10-07,52.84,8835079765.68,455114863.72
2021-10-08,51.08,8536472253.29,423877252.79
2021-10-09,49.03,8208721038.32,433043669.25
2021-10-10,49.60,8300151324.97,288365266.92
2021-10-11,44.88,7494152812.90,327731773.26
2021-10-12,45.11,7510436627.73,313199242.42
2021-10-13,43.13,7499865352.19,372516512.36
2021-10-14,43.08,7490863094.17,341001565.08
2021-10-15,42.78,7428763051.62,361722147.16
2021-10-16,43.18,7473014009.65,429864154.11
2021-10-17,46.08,8022081004.74,527151734.71
2021-10-18,44.04,7666832131.44,327228130.52
2021-10-19,43.76,7587602377.39,251197579.06
2021-10-20,43.81,7627801574.36,244013193.67
2021-10-21,47.06,8192076726.14,348937187.62
2021-10-22,44.81,7809466755.02,410864813.40
