Day,Price,Market Cap,Volume
2021-09-01,171.78,11475429430.68,2189172521.91
2021-09-02,181.12,12088044122.04,2774015017.43
2021-09-03,183.83,12271244378.99,2654117926.20
2021-09-04,212.35,14175047195.94,5753472753.11
2021-09-05,213.22,14232912580.94,4382080698.72
2021-09-06,229.32,15307972822.43,3751401946.51
2021-09-07,220.10,14692469973.03,3797512105.49
2021-09-08,178.44,11895604543.56,4841380209.40
2021-09-09,179.30,12015537429.12,4555784101.84
2021-09-10,180.86,12073166216.50,2915923407.42
2021-09-11,173.90,11599982350.68,2534713363.70
2021-09-12,178.75,11931872713.83,2227645427.19
2021-09-13,183.45,12245694193.15,2474946596.82
2021-09-14,180.18,12026057255.34,8617431878.87
2021-09-15,183.25,12229424489.75,3401564791.46
2021-09-16,189.00,12616239375.28,2990353969.08
2021-09-17,185.89,12408614349.62,3771083978.30
2021-09-18,180.06,12067636758.16,3395504379.53
2021-09-19,181.66,12126412631.03,2172816986.04
2021-09-20,176.03,11755609272.27,2132856602.68
2021-09-21,157.49,10512604962.26,3113313353.82
2021-09-22,146.99,9778752348.49,2617744216.95
2021-09-23,160.91,10731293840.47,2448345122.81
2021-09-24,164.33,10972485278.47,2153613635.44
2021-09-25,151.95,10200662930.25,3067752227.33
2021-09-26,151.91,10132388187.21,2758915259.25
2021-09-27,150.66,10219843342.92,3278492460.16
2021-09-28,145.06,9748921903.22,2627449641.87
2021-09-29,140.41,9372475961.87,2714402314.30
2021-09-30,145.03,9681357897.31,2500219981.98
2021-10-01,153.15,10228958668.18,2404772315.83
2021-10-02,166.03,11077015406.90,2943230546.09
2021-10-03,169.66,11659851024.78,2859712957.10
2021-10-04,170.97,11749810607.62,2912326781.57
2021-10-05,167.55,11506766114.67,2685181954.22
2021-10-06,174.12,11959486591.45,2624353783.53
2021-10-07,179.20,12309753394.57,3225630004.91
2021-10-08,179.06,12301131244.81,3515152317.77
2021-10-09,175.97,12090218245.97,3002931305.12
2021-10-10,179.98,12367375432.50,3043830823.80
2021-10-11,175.43,12056112164.15,2710452830.03
2021-10-12,179.31,12254760530.98,2917835057.96
2021-10-13,172.39,11849297493.77,2817715667.75
2021-10-14,177.82,12226025574.25,2522300436.34
2021-10-15,180.36,12399079366.71,2442709490.72
2021-10-16,189.34,13018317286.78,3109064131.12
2021-10-17,187.15,12831025871.32,2606140566.59
2021-10-18,183.60,12626547685.46,2326813530.44
2021-10-19,185.53,12760817690.06,2475012852.05
2021-10-20,188.96,12994083695.67,2200024350.60
2021-10-21,207.67,14288129083.25,2789536581.94
2021-10-22,197.30,13574263307.07,2608448634.59
2021-10-23,191.70,13201586874.51,2120311827.80
2021-10-24,196.03,13549407672.57,1792760101.95
2021-10-25,191.12,13113243378.47,1807972491.71
2021-10-26,196.07,13495845936.79,1932846689.65
2021-10-27,198.41,13657953880.20,1928980027.31
2021-10-28,180.24,12408899504.60,2997033270.95
2021-10-29,190.17,13093632050.37,2391049998.95
2021-10-30,196.70,13555562187.25,2071576069.77
2021-10-31,190.19,13098186372.89,1820602185.82
2021-11-01,191.99,13222938865.09,1887265680.65
2021-11-02,198.15,13524476808.84,2026195842.20
2021-11-03,201.13,13749712642.19,1928845089.41
2021-11-04,207.32,14216793685.29,2339651671.53
2021-11-05,203.25,13929879440.73,2034399015.53
2021-11-06,200.14,13782312705.87,1498479961.19
2021-11-07,198.15,13649344659.10,1407029685.62
2021-11-08,202.05,13890107860.22,1098098036.99
2021-11-09,228.70,15826924373.88,2906006240.56
2021-11-10,264.46,18292523224.44,6858513361.64
2021-11-11,260.86,17755040894.38,7438972472.59
2021-11-12,263.06,18176554728.43,3611128393.53
2021-11-13,252.76,17430105280.31,4522578141.66
2021-11-14,258.57,17802232004.31,2567924183.47
2021-11-15,279.44,19274637084.01,3006953687.31
2021-11-16,264.49,18244914469.89,2470208124.13
2021-11-17,232.09,15980841934.26,3764421564.50
2021-11-18,229.58,15809799301.21,2574783650.32
2021-11-19,203.45,14038550383.45,2741231929.14
2021-11-20,219.28,15132525641.43,2115211086.73
2021-11-21,226.34,15621865890.22,1883458591.97
2021-11-22,224.27,15567072000.13,1608296972.08
2021-11-23,209.64,14471217926.96,1798892292.64
2021-11-24,217.13,14990728647.21,1665247283.47
2021-11-25,212.14,14647429097.67,1447237113.34
2021-11-26,222.84,15387864223.24,1978276570.38
2021-11-27,195.34,13490063741.39,2394387398.68
2021-11-28,193.85,13388614416.20,1169175298.92
2021-11-29,198.89,13737973825.71,1526632674.06
2021-11-30,206.67,14316829008.32,1582819342.21
2021-12-01,207.94,14365979718.45,1919830616.34
2021-12-02,208.47,14404225573.54,2345839119.83
2021-12-03,203.63,14078988390.22,1242870815.24
2021-12-04,189.74,13106580082.14,1532248603.69
2021-12-05,162.56,11266169956.00,3285416173.73
2021-12-06,156.20,10797477186.59,1679437006.34
2021-12-07,162.44,11229625592.47,1694912645.83
2021-12-08,162.00,11200829875.64,1297732907.98
2021-12-09,164.72,11390103028.20,1500496477.18
2021-12-10,152.49,10545054910.37,1212367143.50
2021-12-11,149.08,10310262934.64,1231496786.44
2021-12-12,157.99,10927837130.35,1111922271.23
2021-12-13,158.98,10997571204.50,745385892.75
2021-12-14,144.64,10006531134.69,977864412.22
2021-12-15,150.58,10418498424.85,953819540.35
2021-12-16,153.24,10599207876.80,1153019236.67
2021-12-17,149.23,10327179713.10,816602011.47
2021-12-18,144.09,9972534480.96,4871565819.54
2021-12-19,148.97,10311619641.52,667024505.04
2021-12-20,153.45,10622456722.00,1401451922.53
2021-12-21,153.18,10644668240.00,1409784732.82
2021-12-22,155.34,10755892714.12,888548877.90
2021-12-23,155.62,10776814973.82,940630205.23
2021-12-24,163.68,11306762839.25,1170145779.63
2021-12-25,161.58,11191816306.08,934925762.23
2021-12-26,158.79,10999748995.76,770423737.68
2021-12-27,156.37,10833129891.87,1067423563.92
2021-12-28,156.06,10812469864.59,884252402.65
2021-12-29,146.34,10140083947.94,1150683898.37
2021-12-30,145.51,10043087113.59,951578655.64
2021-12-31,148.04,10239705862.07,735711577.31
2022-01-01,146.60,10165614442.93,927144179.74
2022-01-02,151.09,10473638674.04,600594220.85
2022-01-03,151.51,10523239230.89,613040982.78
2022-01-04,148.68,10309037335.05,658797623.46
2022-01-05,146.72,10247784142.82,739978327.25
