Day,Price,Market Cap,Volume
2021-09-01,1.01,0.00,6361033.03
2021-09-02,1.00,0.00,6053078.78
2021-09-03,1.00,0.00,5823390.87
2021-09-04,1.01,0.00,4441242.56
2021-09-05,1.00,0.00,4059901.27
2021-09-06,1.00,0.00,2943173.23
2021-09-07,1.00,0.00,2682569.41
2021-09-08,1.01,0.00,11728644.41
2021-09-09,1.00,0.00,5395523.20
2021-09-10,1.00,0.00,3777594.59
2021-09-11,1.00,0.00,13541004.26
2021-09-12,1.00,0.00,2845842.72
2021-09-13,1.00,0.00,5115919.06
2021-09-14,1.00,0.00,3611837.75
2021-09-15,1.00,0.00,36017946.96
2021-09-16,1.00,0.00,4970904.99
2021-09-17,1.00,0.00,5792455.55
2021-09-18,1.01,0.00,31180541.56
2021-09-19,1.01,0.00,23677179.65
2021-09-20,1.00,0.00,43017854.32
2021-09-21,0.99,0.00,17340764.81
2021-09-22,0.99,0.00,15364818.92
2021-09-23,1.00,0.00,20290610.61
2021-09-24,1.00,0.00,10236715.15
2021-09-25,1.00,879216000.87,5478097.31
2021-09-26,1.00,882633314.02,10404330.69
2021-09-27,1.00,881146781.43,23191623.57
2021-09-28,1.00,876980242.10,13484365.22
2021-09-29,0.99,869902306.59,32954813.13
2021-09-30,1.01,882050436.16,7360787.44
2021-10-01,1.00,882882409.75,9328584.99
2021-10-02,1.00,881255572.73,21626496.12
2021-10-03,1.00,874796697.26,19696201.04
2021-10-04,1.00,880625436.16,48589478.47
2021-10-05,1.00,882423083.11,18640837.00
2021-10-06,1.01,1013066645.35,34231063.12
2021-10-07,1.00,1011922374.60,87748996.56
2021-10-08,1.01,1145217067.76,50126955.64
2021-10-09,1.01,1147934387.20,47410687.55
2021-10-10,1.01,1294428589.41,33975425.20
2021-10-11,1.01,1296462252.30,60787663.44
2021-10-12,1.01,1292067306.27,51564153.38
2021-10-13,1.01,1487674565.37,83658053.16
2021-10-14,1.01,1492063676.23,23062375.54
2021-10-15,1.00,1680947836.27,180416969.11
2021-10-16,1.00,1687438522.78,81985620.57
2021-10-17,1.00,1688899950.15,50152501.42
