Day,Price,Market Cap,Volume
2021-09-01,5.31,2356222373.20,152895209.59
2021-09-02,5.49,2445865992.31,119051189.32
2021-09-03,5.50,2455044728.17,106465644.31
2021-09-04,6.18,2754493625.90,413125541.73
2021-09-05,6.09,2734485034.92,177929524.63
2021-09-06,6.12,2736119755.70,136059505.12
2021-09-07,6.11,2744365075.57,174487824.51
2021-09-08,8.65,3803209503.80,1303310091.96
2021-09-09,10.37,4654346681.37,2135320629.57
2021-09-10,9.78,4422910530.81,1158291722.10
2021-09-11,9.91,4478084466.58,714900261.68
2021-09-12,8.97,4051185527.15,436231539.79
2021-09-13,9.01,4096500208.12,418959940.48
2021-09-14,8.24,3732114013.23,347565987.68
2021-09-15,8.64,3968883455.87,341354645.62
2021-09-16,9.30,4279909193.48,320616796.41
2021-09-17,8.77,4022394973.67,236555176.46
2021-09-18,8.33,3858855095.37,189906380.98
2021-09-19,9.09,4198036119.32,299003847.60
2021-09-20,9.95,4540097239.50,476070784.53
2021-09-21,7.69,3548918294.15,684765521.49
2021-09-22,6.60,3064468322.84,397346176.14
2021-09-23,7.65,3551502275.82,302510497.98
2021-09-24,9.29,4327937284.80,472528548.92
2021-09-25,7.94,3697234957.60,489956485.51
2021-09-26,7.68,3584836813.19,261860347.10
2021-09-27,7.29,3402757963.02,312083516.88
2021-09-28,6.88,3242273576.73,226544350.30
2021-09-29,6.38,3010152635.77,209029813.61
2021-09-30,6.68,3133526319.31,298795500.50
2021-10-01,6.93,3258595976.82,257763733.70
2021-10-02,7.81,3668765583.82,314010196.87
2021-10-03,7.86,3709714444.30,213189513.36
2021-10-04,8.05,3811889796.36,243357684.22
2021-10-05,7.66,3633124788.65,256518053.33
2021-10-06,8.02,3806802980.48,246289017.31
2021-10-07,7.81,3710089448.38,224929179.64
2021-10-08,8.22,3895897486.68,304227709.58
2021-10-09,8.08,3841491799.26,271578506.14
2021-10-10,8.03,3827578822.25,136471351.24
2021-10-11,7.39,3525184373.74,149535603.34
2021-10-12,7.43,3511480616.74,136324123.21
2021-10-13,7.23,3459941116.73,164860077.20
2021-10-14,7.27,3478713945.90,144968430.44
2021-10-15,8.07,4201328779.16,216633573.75
2021-10-16,7.90,4104943976.76,217200720.32
2021-10-17,7.89,4125164140.95,138403278.55
2021-10-18,7.79,4063492796.70,97848461.96
2021-10-19,7.82,4085119470.84,107156550.35
2021-10-20,8.19,4258975069.62,157548953.79
2021-10-21,8.73,4585067815.12,226275267.69
2021-10-22,9.44,4948483706.11,384805847.04
2021-10-23,9.14,4790411492.97,263338260.33
2021-10-24,9.31,4888361567.81,146850112.93
2021-10-25,9.67,5064477139.68,269908811.68
2021-10-26,12.42,6529782450.33,827916880.24
2021-10-27,12.34,6532003975.71,644555915.33
2021-10-28,10.90,5754623879.37,555803441.40
2021-10-29,11.37,6005930735.59,478108448.40
2021-10-30,11.55,6012862998.19,232946787.07
2021-10-31,10.47,5546579605.67,239107097.08
2021-11-01,10.18,5383868990.26,238339256.38
2021-11-02,10.16,5351857915.38,258530419.65
2021-11-03,10.48,5542978595.99,239905160.60
2021-11-04,10.99,5866931500.05,313227548.48
2021-11-05,10.66,5605700127.10,244924500.82
2021-11-06,10.40,5535370119.82,176761789.41
2021-11-07,10.21,5426450044.49,203164691.09
2021-11-08,10.36,5519268790.01,153803740.09
2021-11-09,10.73,5752807080.60,224217796.42
2021-11-10,11.41,6101921710.15,349693350.43
2021-11-11,10.80,5809736202.85,404657653.69
2021-11-12,12.28,6632460997.12,495305391.43
2021-11-13,11.28,6094079284.22,353297577.80
2021-11-14,11.20,6078905339.41,192232290.28
2021-11-15,11.91,6488160591.26,256930499.70
2021-11-16,11.11,6077651683.48,188770367.35
2021-11-17,9.75,5341906015.49,378810238.96
2021-11-18,9.43,5143381526.25,239942785.26
2021-11-19,8.78,4804143965.02,266817199.18
2021-11-20,9.48,5286723363.74,180607568.04
2021-11-21,9.84,5509541650.74,177985894.63
2021-11-22,9.76,5516903361.62,144798697.00
2021-11-23,9.29,5222674423.41,154492397.65
2021-11-24,9.96,5590055187.26,180865032.89
2021-11-25,9.24,5191927709.93,204622736.28
2021-11-26,9.27,5222440064.88,143919340.56
2021-11-27,8.22,4644882804.96,239407387.43
2021-11-28,8.25,4652451950.42,88468509.54
2021-11-29,8.37,4736049324.46,169862804.66
2021-11-30,8.43,4779774941.25,94652861.11
2021-12-01,8.72,4971035959.32,187064770.93
2021-12-02,8.49,4802464904.47,113782472.49
2021-12-03,8.24,4684179476.95,107812193.14
2021-12-04,9.15,5229979418.94,376335620.65
2021-12-05,7.96,4523131651.13,451563638.66
2021-12-06,7.31,4166793551.71,153398803.90
2021-12-07,7.30,4155156380.31,205342634.08
2021-12-08,7.61,4336095033.25,173929798.95
2021-12-09,9.38,5364165532.58,515307473.64
2021-12-10,9.87,5562158393.97,577772564.35
2021-12-11,10.07,5797549414.02,536897125.01
2021-12-12,11.50,6507977049.82,613924714.75
2021-12-13,10.58,6056925719.73,337855124.75
2021-12-14,9.11,5238217100.65,320128780.95
2021-12-15,9.29,5379379970.69,263389808.06
2021-12-16,9.84,5753707034.32,1054072336.45
2021-12-17,9.24,5348523280.15,297824709.68
2021-12-18,8.42,4907343486.57,249096660.73
2021-12-19,8.42,4898381898.55,159351764.33
2021-12-20,8.99,5276419989.15,358472897.19
2021-12-21,8.55,5115427929.68,280929684.23
2021-12-22,9.27,5521184852.52,239810512.42
2021-12-23,10.83,6450716901.72,784459037.94
2021-12-24,13.75,8213930071.40,1384885943.00
2021-12-25,14.84,8852401191.41,1115877096.89
2021-12-26,15.23,9085418392.96,668429359.05
2021-12-27,16.15,9564238709.07,512933832.86
2021-12-28,14.70,8794721968.63,497716288.81
2021-12-29,13.36,8042009803.42,595724998.79
2021-12-30,15.00,8883767194.88,713971079.64
2021-12-31,15.42,9282255311.83,707445661.12
2022-01-01,14.61,8854169171.26,382535726.47
2022-01-02,15.23,9144393083.31,232065534.98
2022-01-03,14.44,8688224509.25,243603573.46
2022-01-04,16.43,9754615200.93,661007281.80
2022-01-05,16.03,9910727526.74,1033777436.20
2022-01-06,15.44,9357510065.41,891244615.12
2022-01-07,15.97,9663344935.81,885598425.23
2022-01-08,15.04,9130670575.87,778656868.82
2022-01-09,13.85,8434858380.98,543381518.93
2022-01-10,13.53,8192312009.27,367141983.90
2022-01-11,15.48,9303025590.73,952896785.02
2022-01-12,18.10,11030496530.27,1163236650.62
2022-01-13,17.55,10679449765.44,900811298.67
2022-01-14,19.59,11886135050.95,1190033346.59
2022-01-15,20.24,12462550402.22,1198948397.24
2022-01-16,19.39,11903527528.83,500463994.02
2022-01-17,20.06,12300351668.01,624831591.84
2022-01-18,17.77,10916195162.33,690761074.23
2022-01-19,17.72,10933395115.34,728419199.54
2022-01-20,16.21,10024057537.19,673157114.91
