Day,Price,Market Cap,Volume
2021-09-01,5.20,4378882661.00,469465306.14
2021-09-02,5.42,4564939034.64,301152186.46
2021-09-03,5.30,4468519975.14,193928022.75
2021-09-04,5.31,4468161422.36,246930469.54
2021-09-05,5.42,4571844371.46,257672293.94
2021-09-06,5.54,4665155084.95,284682455.81
2021-09-07,5.62,4744974151.39,390315569.51
2021-09-08,4.41,3716879864.37,534725343.86
2021-09-09,4.37,3687699368.18,327661392.24
2021-09-10,5.54,4680233103.28,790775475.35
2021-09-11,6.22,5256180438.25,2669357033.57
2021-09-12,6.10,5153183683.02,1021914190.30
2021-09-13,7.08,5902498453.24,1255125580.88
2021-09-14,7.16,6039407593.13,2029106083.65
2021-09-15,7.11,5994495051.91,1233992943.59
2021-09-16,6.92,5796035687.84,1000613102.90
2021-09-17,7.00,5900406875.56,735196818.20
2021-09-18,6.12,5176982603.28,537035054.87
2021-09-19,6.43,5425387813.13,531900515.54
2021-09-20,6.55,5550784068.51,620128337.82
2021-09-21,5.30,4426624213.80,774229840.85
2021-09-22,4.60,3874127826.70,562283271.58
2021-09-23,5.56,4690630288.22,477479624.17
2021-09-24,6.27,5357664017.55,1058769732.46
2021-09-25,6.92,6218706397.47,1477031627.81
2021-09-26,6.90,5962029600.19,1077049673.15
2021-09-27,6.53,5775602735.65,741322134.69
2021-09-28,6.06,5218201264.94,523334788.28
2021-09-29,5.52,4774848545.55,583994971.79
2021-09-30,5.63,4839611479.85,480922488.40
2021-10-01,5.99,5145548099.99,436361440.37
2021-10-02,6.62,5692872997.71,649282839.24
2021-10-03,7.31,6292023922.43,845290725.23
2021-10-04,8.55,7384409406.18,1603586755.09
2021-10-05,8.35,7275867989.06,1375450597.59
2021-10-06,7.98,6880460484.41,828911321.44
2021-10-07,7.81,6746435032.70,995222838.09
2021-10-08,7.60,6541945746.79,577394449.73
2021-10-09,7.30,6290191509.21,596683334.06
2021-10-10,7.58,6499507713.56,306667494.00
2021-10-11,6.98,6026462645.55,551044603.52
2021-10-12,6.91,5931972293.18,399597884.57
2021-10-13,7.07,6096032049.76,525585006.83
2021-10-14,7.31,6297895155.80,349006182.69
