Day,Price,Market Cap,Volume
2021-09-01,0.96,853719567.17,588566836.55
2021-09-02,1.01,891381409.91,944345803.70
2021-09-03,1.00,884649465.15,438995809.24
2021-09-04,1.00,882323030.41,347066483.85
2021-09-05,0.99,880821473.34,601004496.19
2021-09-06,0.97,857996934.00,301301876.16
2021-09-07,0.96,847003478.67,261541453.62
2021-09-08,0.75,672088117.97,369597717.07
2021-09-09,0.79,710299466.67,306264186.91
2021-09-10,0.87,781130057.65,196885172.54
2021-09-11,0.78,692497912.10,136585296.27
2021-09-12,0.79,706197193.94,75946883.91
2021-09-13,0.82,728622916.80,112632553.48
2021-09-14,0.76,668420550.02,152556138.71
2021-09-15,0.79,707528214.06,72924084.56
2021-09-16,0.81,721104847.05,69527628.51
2021-09-17,0.82,737199629.83,111040702.16
2021-09-18,0.77,689111926.31,78788605.37
2021-09-19,0.78,692116796.37,51444633.09
2021-09-20,0.75,665432343.41,46575521.16
2021-09-21,0.64,565211024.87,104664083.65
2021-09-22,0.60,528768313.42,110146727.51
2021-09-23,0.69,621299523.76,98628099.04
2021-09-24,0.75,655799877.23,253548257.30
2021-09-25,0.68,606138317.29,100704821.70
2021-09-26,0.67,597695491.68,63151274.24
2021-09-27,0.66,585501363.97,82363746.55
2021-09-28,0.63,571895561.09,56830554.84
2021-09-29,0.60,537039528.30,91172769.88
2021-09-30,0.60,538377507.44,70692376.63
2021-10-01,0.67,594916035.57,90658925.13
2021-10-02,0.81,717253064.69,179517724.28
2021-10-03,0.79,700915680.57,114243313.36
2021-10-04,0.88,774438834.06,240663203.53
2021-10-05,0.82,736276552.07,185641613.93
2021-10-06,0.81,722427112.59,91636367.34
2021-10-07,0.82,725766648.74,214024451.71
2021-10-08,0.80,713408550.26,72718958.91
2021-10-09,0.78,693854414.82,95260692.13
2021-10-10,0.80,718029254.26,64475009.92
2021-10-11,0.75,668354824.80,53736114.85
2021-10-12,0.74,657245144.48,60557155.86
2021-10-13,0.72,645839565.99,61849206.74
2021-10-14,0.74,664125794.50,62447716.92
2021-10-15,0.78,694566997.05,67621505.29
2021-10-16,0.74,664199247.79,78574632.92
2021-10-17,0.76,672466907.01,65046700.57
2021-10-18,0.72,652161501.90,51595868.61
2021-10-19,0.73,649896166.69,56578758.67
2021-10-20,0.73,654246550.73,39642960.50
2021-10-21,0.78,697285600.06,67314613.45
2021-10-22,0.76,676516748.39,82181833.39
2021-10-23,0.77,683292184.09,64339823.25
2021-10-24,0.77,683528411.71,40001187.66
2021-10-25,0.79,701823706.96,62314569.58
2021-10-26,0.81,726722918.45,69319758.18
2021-10-27,0.83,743451925.44,103609066.29
2021-10-28,0.77,685517880.50,136826367.67
2021-10-29,0.93,827579656.18,275499015.58
2021-10-30,1.17,1016325974.89,1162017532.73
2021-10-31,1.77,1585552471.47,4794497972.31
2021-11-01,1.56,1392455475.47,3849262910.00
2021-11-02,2.10,1862083120.94,4554195992.88
2021-11-03,3.03,2691077581.64,8705030050.05
2021-11-04,3.21,2867528676.85,5490193211.22
2021-11-05,2.74,2374458248.99,2289983868.74
2021-11-06,2.57,2306855330.58,863541234.66
2021-11-07,2.71,2423281651.92,1004616974.99
2021-11-08,2.68,2371094198.58,354520683.32
2021-11-09,2.57,2295015987.44,860108099.28
2021-11-10,2.38,2129747249.41,511720777.52
2021-11-11,2.29,2016389601.62,1182634496.84
2021-11-12,2.44,2182050808.43,424975319.06
2021-11-13,2.64,2345512346.60,1195708376.62
2021-11-14,2.82,2523011294.16,1869216032.26
2021-11-15,2.84,2517075215.26,664246780.36
2021-11-16,2.82,2522959918.58,547420493.10
2021-11-17,3.28,2921591323.65,3043440017.41
2021-11-18,3.75,3392230090.19,3727154581.72
2021-11-19,4.39,3918736106.95,5352747189.94
2021-11-20,4.44,3969366254.33,2090930710.29
2021-11-21,4.25,3802320307.13,1160994137.65
2021-11-22,4.08,3645658148.35,1431549083.44
2021-11-23,4.94,4386701531.41,1956691687.95
2021-11-24,5.36,4787676367.12,3182808782.90
2021-11-25,7.43,6605387993.36,6427538721.63
2021-11-26,7.23,6481649206.23,5782058839.28
2021-11-27,6.87,6292245119.02,3948099305.43
2021-11-28,6.50,5884963465.00,2133529020.16
2021-11-29,7.51,6803491733.88,3800372599.81
2021-11-30,6.96,6371839127.55,2896414896.30
2021-12-01,6.75,6153434968.17,1975258491.26
2021-12-02,6.55,5968960271.96,1475135296.52
2021-12-03,6.67,6051426622.79,1771160054.82
2021-12-04,6.03,5524914706.18,1671517898.40
2021-12-05,6.02,5518305789.31,2764510619.46
2021-12-06,5.42,4916002504.31,1258163504.19
2021-12-07,5.51,5025527451.59,1498545023.33
2021-12-08,5.32,4850564907.15,897625907.33
2021-12-09,5.32,4840778324.68,740601694.88
2021-12-10,5.26,4832039932.52,1257577404.29
2021-12-11,4.85,4457551227.85,886692571.47
2021-12-12,5.04,4600565161.43,617072861.91
2021-12-13,5.48,5005411735.40,940734905.25
2021-12-14,4.80,4368901588.66,807266876.96
2021-12-15,4.77,4342143010.24,586038131.48
2021-12-16,5.21,4748184472.56,1257755153.66
2021-12-17,5.02,4585840770.67,938803970.57
2021-12-18,5.00,4573921675.33,813571340.52
2021-12-19,5.21,4750417559.99,789984540.46
2021-12-20,5.07,4659540666.03,624084978.28
2021-12-21,5.01,4623908570.80,608423324.59
2021-12-22,5.20,4794966123.85,609616799.43
2021-12-23,5.16,4749543711.83,617038400.64
2021-12-24,6.35,5818900757.25,1871169115.91
2021-12-25,5.89,5420062365.83,1696609222.55
2021-12-26,6.77,6212226880.21,1940803689.08
2021-12-27,6.77,6236499496.69,1712192991.83
2021-12-28,6.46,5959459301.18,1001387609.29
2021-12-29,5.94,5503886892.49,1579999838.86
2021-12-30,5.84,5325358994.62,1440917498.45
2021-12-31,5.93,5440682156.95,1037474782.00
2022-01-01,5.88,5431529869.37,1075862735.82
2022-01-02,6.01,5497144545.35,587157079.43
2022-01-03,5.96,5478758124.48,616120440.93
2022-01-04,5.72,5279941286.86,694724181.13
2022-01-05,5.51,5106165479.16,840423517.18
2022-01-06,5.06,4677530617.62,1121104357.55
2022-01-07,5.27,4830669917.29,1419386480.80
2022-01-08,4.89,4490264867.10,1055968983.62
2022-01-09,4.66,4313083327.78,651991773.63
2022-01-10,4.77,4395522486.26,630519393.13
2022-01-11,4.49,4128605174.80,870170238.40
2022-01-12,4.77,4397446004.25,767545582.38
2022-01-13,5.18,4779878996.02,999176105.84
2022-01-14,4.87,4497257849.95,894687442.70
2022-01-15,4.93,4526888401.65,743651213.57
2022-01-16,4.87,4482121646.38,410649094.08
2022-01-17,4.92,4529320940.66,548990884.67
2022-01-18,4.63,4261884627.65,561937744.72
2022-01-19,4.48,4128128276.04,524329963.45
2022-01-20,4.25,3928149440.50,514994142.77
2022-01-21,3.95,3663487981.07,579321573.39
2022-01-22,3.36,3101090993.25,1008364941.47
2022-01-23,3.03,2778209938.83,1308760396.85
2022-01-24,3.15,2892848402.04,773874303.41
2022-01-25,3.03,2801256812.13,873719122.78
2022-01-26,3.06,2847574365.85,599618928.60
2022-01-27,3.10,2886916903.47,988456582.56
2022-01-28,3.41,3158750072.55,1243488561.28
2022-01-29,3.51,3238428679.81,969578483.00
2022-01-30,3.91,3603313363.67,998872165.13
2022-01-31,3.91,3627427070.24,1002051141.93
2022-02-01,4.12,3811617303.44,1142396101.69
2022-02-02,4.00,3704214105.11,677455059.83
2022-02-03,3.70,3413740810.19,613098418.65
2022-02-04,3.69,3390814827.37,617958515.93
2022-02-05,4.03,3704555445.38,717002092.25
2022-02-06,4.38,4084596723.86,1290387663.31
2022-02-07,4.68,4342984420.56,1200152174.87
2022-02-08,4.70,4355396674.19,976506671.09
2022-02-09,4.83,4977939606.16,1172776366.27
2022-02-10,4.72,4891653367.63,846688924.50
2022-02-11,4.43,4583021250.00,925232742.76
2022-02-12,4.22,4343586855.46,697365016.33
2022-02-13,4.24,4394311840.73,753593289.87
2022-02-14,4.10,4272341990.30,448140678.36
2022-02-15,4.04,4286588937.43,614274094.91
2022-02-16,4.41,4694768150.74,782599988.22
2022-02-17,4.20,4597651262.23,774637515.92
2022-02-18,3.76,4091724280.91,759634043.81
2022-02-19,3.63,3958247880.09,588390503.68
2022-02-20,3.52,3829365881.04,450279725.73
2022-02-21,3.23,3533605203.81,575984315.60
2022-02-22,2.92,3192766467.52,932109087.23
2022-02-23,3.18,3457863847.73,849483956.42
