Day,Price,Market Cap,Volume
2021-09-01,6.65,6652948978.13,271203054.40
2021-09-02,7.09,7085024938.95,323407290.50
2021-09-03,7.04,7024820559.36,264380791.00
2021-09-04,7.23,7219310232.42,319981198.51
2021-09-05,7.54,7535450284.62,381184670.89
2021-09-06,8.18,8134972773.49,538048876.87
2021-09-07,9.24,9323992568.11,1081624661.05
2021-09-08,7.04,7039543473.40,1536999967.42
2021-09-09,6.79,6797314107.42,861885964.07
2021-09-10,6.96,6975682614.06,610864992.88
2021-09-11,6.46,6454456099.85,433338086.26
2021-09-12,6.43,6423110653.23,275157639.85
2021-09-13,6.62,6649167302.26,337592851.47
2021-09-14,6.16,6163110149.39,336404319.37
2021-09-15,6.46,6461047710.06,234140162.06
2021-09-16,6.88,6890217318.54,405427231.19
2021-09-17,6.67,6668491473.37,234572508.20
2021-09-18,6.33,6328806783.73,211285644.46
2021-09-19,6.35,6351737357.32,173754379.07
2021-09-20,6.10,6099396986.85,163462437.12
2021-09-21,5.15,5115601847.71,509481032.22
2021-09-22,4.95,4940781254.59,503817075.89
2021-09-23,5.55,5541265390.28,321943438.59
2021-09-24,5.73,5734993070.90,291574909.84
2021-09-25,5.18,5200840875.87,336348694.66
2021-09-26,5.13,5130942354.69,201095922.15
2021-09-27,5.10,5088900060.35,314987219.41
2021-09-28,4.91,4961158107.79,229483045.45
2021-09-29,4.69,4714358547.00,208203276.06
2021-09-30,4.83,4822127372.17,236638251.37
2021-10-01,5.04,5036791383.44,209739883.25
2021-10-02,6.03,6029985946.41,431924330.15
2021-10-03,6.09,6091141615.62,377934812.29
2021-10-04,6.12,6118390427.15,257667014.31
2021-10-05,6.02,6016712859.73,274908031.73
2021-10-06,6.71,6716901797.17,539442223.39
2021-10-07,6.43,6429724431.86,481984804.92
2021-10-08,6.54,6502625501.34,320127147.31
2021-10-09,6.42,6431490285.05,274020110.70
2021-10-10,6.95,6962610475.24,265221315.81
2021-10-11,6.32,6345899551.18,251016128.55
2021-10-12,6.17,6141531577.66,231232064.49
2021-10-13,5.91,5910764882.39,270761597.61
2021-10-14,6.11,6107217694.81,291881949.74
2021-10-15,6.05,6048140357.55,188123906.32
2021-10-16,6.29,6285999464.56,296996343.72
2021-10-17,6.18,6159230700.97,171731908.75
2021-10-18,6.00,5994348508.29,166402884.48
2021-10-19,5.86,5864102472.08,152572566.61
2021-10-20,5.96,5950523328.47,143394084.04
2021-10-21,6.25,6247087748.92,182473240.54
2021-10-22,6.00,6008261144.40,244309262.67
2021-10-23,6.70,6715153316.04,463225059.04
2021-10-24,6.56,6558746966.89,186314872.11
2021-10-25,6.46,6451872008.66,244947707.81
2021-10-26,6.80,6787699430.62,232494277.61
2021-10-27,7.03,7054306817.94,359922243.98
2021-10-28,6.19,6199131722.31,554166977.63
2021-10-29,6.44,6419030744.13,358828199.39
2021-10-30,6.96,6967403132.73,442666214.86
2021-10-31,8.21,8271976002.88,1000834974.49
2021-11-01,7.20,7212684567.75,673823185.09
2021-11-02,7.35,7315146905.80,432402617.33
2021-11-03,7.60,7565374252.38,374968784.77
2021-11-04,7.44,7444060224.06,356810726.28
2021-11-05,7.74,7663036995.02,427648432.83
2021-11-06,7.60,7593292158.27,352029217.24
2021-11-07,7.48,7439250651.91,229503540.91
2021-11-08,7.44,7436397304.62,165988261.25
2021-11-09,7.87,7855587516.99,288590245.74
2021-11-10,7.94,7958943103.73,527580051.18
2021-11-11,7.35,7320432082.06,535058054.78
2021-11-12,7.40,7421201049.81,316709552.05
2021-11-13,7.18,7178244994.50,278644312.61
2021-11-14,7.21,7202410773.74,158639084.87
2021-11-15,7.06,7041097702.48,160884897.68
2021-11-16,6.83,6829076155.19,147938674.25
2021-11-17,6.31,6310164716.02,361810405.73
2021-11-18,6.63,6595145082.61,263892666.83
2021-11-19,5.97,5963277277.28,303857385.30
2021-11-20,6.38,6361376697.86,203952302.83
2021-11-21,6.75,6755612181.89,175470354.89
2021-11-22,7.17,7196708257.25,276245841.46
2021-11-23,6.52,6514792840.04,325962634.79
2021-11-24,6.90,6890950537.45,227374714.46
2021-11-25,6.61,6616843322.00,261630082.43
2021-11-26,7.43,7463380338.62,431036696.07
2021-11-27,6.53,6522049368.03,435516094.04
2021-11-28,6.50,6493180083.57,195849474.17
2021-11-29,6.60,6567840693.84,223640235.33
2021-11-30,6.66,6685492018.75,201820271.97
2021-12-01,6.62,6638370536.53,240370467.66
2021-12-02,6.52,6520744758.75,188216538.84
2021-12-03,6.33,6345837349.04,152385893.04
2021-12-04,6.16,6160425246.96,337074815.22
2021-12-05,5.15,5126579563.70,648322558.82
2021-12-06,4.72,4706270710.37,304623501.30
2021-12-07,4.80,4788664453.55,327522539.90
2021-12-08,4.68,4675057089.20,205250832.38
2021-12-09,4.92,4918539398.01,246158594.86
2021-12-10,4.42,4459961469.04,189314812.58
2021-12-11,4.28,4350690568.08,194360364.15
2021-12-12,4.42,4418629709.89,134117709.36
2021-12-13,4.42,4440790608.38,90893573.40
2021-12-14,3.92,3919440289.99,170614297.98
2021-12-15,4.04,4036103947.62,164865587.17
2021-12-16,4.41,4394715002.02,203620131.53
2021-12-17,4.26,4245965571.69,116864326.93
2021-12-18,4.06,4058855973.84,135079903.49
2021-12-19,4.09,4093664167.40,91674938.54
2021-12-20,4.15,4160164776.30,103840019.27
2021-12-21,4.01,4024362380.39,131156861.95
2021-12-22,4.16,4163384856.96,87840467.62
2021-12-23,4.44,4444992646.04,147448126.75
2021-12-24,4.78,4772798277.33,170392290.96
2021-12-25,4.72,4727670399.88,185587611.76
2021-12-26,5.07,5071020356.86,258014532.76
2021-12-27,5.51,5501028094.68,323413060.60
2021-12-28,5.49,5506326139.55,365082169.93
2021-12-29,5.12,5138615799.92,261087669.72
2021-12-30,4.92,4882551815.09,211943380.40
2021-12-31,4.81,4799069360.97,161799849.15
2022-01-01,4.72,4746444714.97,160318022.44
2022-01-02,4.96,4937761996.41,121314207.91
2022-01-03,4.89,4893598986.01,111456087.93
2022-01-04,4.71,4723170871.26,125119724.85
2022-01-05,4.77,4831051040.83,179917538.43
2022-01-06,4.44,4456552634.82,381989800.19
2022-01-07,4.40,4411913081.48,236377225.83
2022-01-08,4.20,4198939493.37,241761910.48
2022-01-09,3.98,4006410778.81,208065206.62
2022-01-10,4.04,4030266387.24,83408893.67
2022-01-11,3.85,3846037669.99,183778651.69
2022-01-12,4.09,4103520264.56,146861135.87
2022-01-13,4.28,4291171561.73,154963442.59
2022-01-14,3.98,4008250841.95,174310705.57
2022-01-15,4.14,4139311567.38,144932888.70
2022-01-16,4.10,4091693450.08,101494618.35
2022-01-17,4.21,4222984342.79,125698256.41
2022-01-18,3.97,3972856612.97,143263463.06
2022-01-19,4.22,4229842758.64,282744770.15
2022-01-20,4.33,4346558952.12,420297498.39
2022-01-21,4.15,4169489047.82,330678549.50
2022-01-22,3.40,3409883552.49,478164367.00
2022-01-23,2.77,2766607734.51,674156511.27
2022-01-24,2.78,2778846437.00,310670155.89
2022-01-25,2.60,2609324134.78,331931598.10
2022-01-26,2.62,2626596019.39,200763365.37
2022-01-27,2.85,2839263644.15,421815841.58
2022-01-28,2.92,2917102826.55,536683618.46
2022-01-29,2.95,2952380268.58,193303746.96
2022-01-30,2.99,2978935050.99,144681107.48
2022-01-31,2.89,2880217624.51,148315500.70
2022-02-01,2.95,2936604068.08,163463144.41
2022-02-02,2.93,2933228126.04,127632063.47
2022-02-03,2.77,2761301006.30,134022512.09
2022-02-04,2.80,2779668788.61,135363079.75
2022-02-05,3.05,3041414365.66,170821837.22
2022-02-06,3.28,3299837485.05,346132193.53
2022-02-07,3.51,3485556657.87,350996737.06
2022-02-08,3.60,3611155090.91,263835852.11
2022-02-09,3.46,3454099401.97,253843006.67
2022-02-10,3.44,3438045173.37,160246192.68
2022-02-11,4.10,4019190443.10,757324195.09
2022-02-12,3.95,3942198751.91,765003268.92
2022-02-13,3.90,3882011915.36,486454292.01
2022-02-14,3.60,3610124840.85,209927179.05
2022-02-15,3.58,3577147677.63,275081714.16
2022-02-16,3.86,3866618219.97,273464746.86
2022-02-17,3.92,3937569297.23,385331254.15
2022-02-18,3.45,3446711303.84,286067891.53
2022-02-19,3.31,3311809153.69,201769770.88
2022-02-20,3.23,3217835334.37,142244871.33
2022-02-21,2.98,2995214154.96,149862324.51
2022-02-22,2.68,2685480737.77,220008614.79
