Day,Price,Market Cap,Volume
2021-09-01,0.12,8226344139.90,799589398.10
2021-09-02,0.14,9127359140.52,1205044324.12
2021-09-03,0.14,9583195333.28,1182783602.21
2021-09-04,0.14,9576259710.93,847910398.50
2021-09-05,0.15,9725808726.62,759928147.36
2021-09-06,0.15,10136429626.52,676211416.87
2021-09-07,0.15,10040965602.47,769371311.42
2021-09-08,0.12,8195942970.60,1513199067.93
2021-09-09,0.12,8048463929.61,924724213.25
2021-09-10,0.12,8138677772.27,768106730.83
2021-09-11,0.11,7573472740.76,656306863.34
2021-09-12,0.12,7698396800.78,467509967.35
2021-09-13,0.12,8044060728.47,523733840.43
2021-09-14,0.11,7570784091.84,521703263.64
2021-09-15,0.12,7851840396.96,383945018.47
2021-09-16,0.12,8106121521.81,417106882.83
2021-09-17,0.12,7830686767.62,400545730.24
2021-09-18,0.11,7504992526.69,343408175.70
2021-09-19,0.11,7545627260.13,289146140.26
2021-09-20,0.11,7285260664.33,275397066.27
2021-09-21,0.09,6149599172.57,693956212.40
2021-09-22,0.09,5807305689.66,556797078.83
2021-09-23,0.10,6583155134.37,515225146.03
2021-09-24,0.10,6812366753.51,446481748.09
2021-09-25,0.09,6273441988.76,519479823.90
2021-09-26,0.09,6050110471.98,327801310.47
2021-09-27,0.09,6102799892.36,351989984.38
2021-09-28,0.09,5817390819.84,289354444.09
2021-09-29,0.08,5504965448.93,313897082.10
2021-09-30,0.08,5628594055.40,317550064.63
2021-10-01,0.10,6342980357.97,485414067.71
2021-10-02,0.11,7248101430.92,846294072.27
2021-10-03,0.11,7468217110.49,524143055.89
2021-10-04,0.11,7430316922.77,450384827.66
2021-10-05,0.11,7358142907.42,530933230.57
2021-10-06,0.11,7602644653.39,489245756.22
2021-10-07,0.11,7515543379.29,534171651.68
2021-10-08,0.11,7431005614.15,500250245.54
2021-10-09,0.11,7453927169.46,379144725.65
2021-10-10,0.12,7902618364.71,559968610.91
2021-10-11,0.11,7420928347.31,347728300.73
2021-10-12,0.11,7275013711.35,381145272.12
2021-10-13,0.11,7147240485.22,482518123.63
2021-10-14,0.12,7706798649.42,629427101.63
2021-10-15,0.12,7973426383.61,631701384.95
2021-10-16,0.12,8044317734.15,698640219.74
2021-10-17,0.12,8033996752.27,409582259.21
2021-10-18,0.12,8168647131.98,659049228.15
2021-10-19,0.12,7954843355.06,430071027.07
2021-10-20,0.12,7803244190.30,347760307.20
2021-10-21,0.12,8191148341.44,430378913.86
2021-10-22,0.13,8730127239.07,1064729737.64
