Day,Price,Market Cap,Volume
2021-09-01,47389.38,9367688301.58,365456746.29
2021-09-02,48688.76,9674311955.92,438044437.30
2021-09-03,49358.01,9828014886.13,523506025.63
2021-09-04,50016.45,9941299027.29,321821177.30
2021-09-05,50011.74,9968022751.28,260246972.75
2021-09-06,51728.95,10313807455.31,242631989.49
2021-09-07,52654.52,10691205964.29,303343433.19
2021-09-08,47031.81,9556642874.97,892144780.63
2021-09-09,46331.17,9451514899.37,590695254.51
2021-09-10,46510.35,9481260355.26,349627928.32
2021-09-11,44774.77,9116585329.65,408968321.46
2021-09-12,45149.16,9197991326.98,380879229.21
2021-09-13,46177.55,9440924853.42,363401008.66
2021-09-14,45149.15,9180023106.53,363259287.03
2021-09-15,47154.61,9699460632.00,342154838.17
2021-09-16,48232.16,9923663508.56,338775478.11
2021-09-17,47897.36,9881345884.01,402831344.58
2021-09-18,47373.61,9776968527.85,346009671.78
2021-09-19,48266.28,9964683129.93,309143417.15
2021-09-20,47404.81,9778677872.35,314616105.42
2021-09-21,42858.76,8822502473.31,556918634.93
2021-09-22,40414.33,8331120052.21,506780655.79
2021-09-23,43563.95,8957730393.19,378577701.20
2021-09-24,44981.38,9261583764.66,342127634.48
2021-09-25,42800.22,8819608925.06,416422922.24
2021-09-26,42929.84,8840194574.22,309343691.65
2021-09-27,43329.33,8919566814.44,419913131.69
2021-09-28,42377.85,8726479988.55,397886895.26
2021-09-29,41050.85,8465877515.00,495632854.46
2021-09-30,41651.88,8567927757.55,504475713.99
2021-10-01,43894.16,9060203660.95,762449598.50
2021-10-02,48194.36,9915381494.33,493606507.53
2021-10-03,47752.48,9824236717.98,419461034.64
2021-10-04,48314.74,9949001597.72,356582406.51
2021-10-05,49395.16,10201722710.36,392636748.07
2021-10-06,51655.54,10675441172.48,350281262.40
2021-10-07,55148.07,11482947062.08,779903974.55
2021-10-08,53964.71,11276471248.06,496240064.86
2021-10-09,54106.22,11292666553.19,423380561.63
2021-10-10,55070.60,11496348039.99,324006225.66
2021-10-11,54708.43,11426101367.24,434630705.93
2021-10-12,57571.66,12004582030.06,512315888.74
2021-10-13,56372.21,11855238665.88,535313359.78
2021-10-14,57609.50,12142692798.05,566606959.90
2021-10-15,57568.16,12135999852.12,603272655.65
2021-10-16,61684.28,13298910099.08,774628252.61
2021-10-17,61155.52,13212034116.06,523526662.42
2021-10-18,61594.41,13229444271.89,384042657.36
2021-10-19,61982.08,13383795306.00,422381014.18
2021-10-20,64302.56,13928315422.00,473014645.28
2021-10-21,66201.92,14495095460.61,498826074.11
2021-10-22,62727.07,13852459144.30,821142737.17
2021-10-23,61053.26,13494189948.62,412728458.20
2021-10-24,61668.11,13673709337.81,315519314.12
2021-10-25,61133.37,13537732313.62,397181087.71
2021-10-26,63296.24,14026631145.67,418943522.32
2021-10-27,60651.66,13429632824.27,420237498.21
2021-10-28,58540.30,13034763714.59,598733216.52
2021-10-29,61069.97,13699322835.32,921383395.55
2021-10-30,62343.51,14230740833.27,506762054.25
2021-10-31,61841.39,14142291433.24,244108468.80
