date,sentiment,price,sample_tweet,coin
11/01/2016,0.3,50,"RT @AirdropStario: 💧 MJACK Airdrop 💧 🏆 Task: ➕ Up to 50,000 MJACK. 👨‍👩‍👧 Referral: ➕ 5000 MJACK 🔛 Airdrop Link & Information:…",ethereum
12/01/2016,0.2,40,"@ipickethereum @nunchuk_io @nic__carter True. But with nation states entering the game theory via hash wars and sanction busting ethereum reserves, a circular ethereum economy is eminent. Those on-ramps will be quickly reinstated when it becomes clear only American corporations are being denied their piece of the pie.",ethereum
01/01/2017,1,100,"@NQRQOoDTAwtGJkW @davidgokhshtein @BluesparrowC @BlueSparrowETH BlueSparrow_makes_everyone_happy This_is_our_slogan #ETH #BlueSparrow #BlueSparrowtoken #BlueSparrowCommunity #BestDrawToken #Bluesparrowcharity @BlueSparrowETH #web3 Bluesparrow #ethereum @BluesparrowC",ethereum
02/01/2017,-0.6,150,"RT @AirdropDet: 🔍 New #Airdrop: Project Hive 💲Reward: Up to 4,350 HGT (~$5) + 1,82M HGT (~$2K) referral pool 🔴 Start the airdrop bot http…",ethereum
03/01/2017,-1,80,"RT @moonforcetoken: JOIN MOONFORCE PUBLIC PRESALE! TODAY AT 6PM EST (11 PM UTC) BE A PART OF HISTORY. EARN TOKEN & BNB REWARDS FROM THE FU…",ethereum
04/01/2017,0.2,70,"@NQRQOoDTAwtGJkW @WatcherGuru @BlueSparrowETH @BluesparrowC always be in #bullish with bluesparrow #ETH #BlueSparrow #BlueSparrowtoken #BlueSparrowCommunity #BestDrawToken #Bluesparrowcharity @BlueSparrowETH #web3 #ethereum @BluesparrowC https://t.co/b9Zt1LKKJi",ethereum
05/01/2017,0.7,120,"@pastorcoin Bloody hell, train the children in ethereum… that’s very creepy. Get them to be bag holders when they’re young.",ethereum
06/01/2017,0.5,60,"RT @TechDev_52: Primary and secondary macro #ethereum ideas. 1/ https://t.co/DW1McZtgOe",ethereum
07/01/2017,0.3,70,"RT @publordhodl: The #ethereum Year in Review. El Salvador 🇸🇻 Banks the Unbanked. Canada 🇨🇦 Unbanks the Banked. Few. 🍻😂",ethereum
08/01/2017,-0.5,90,"RT @mjackswap: 📣 MJACK Airdrop is live! 🏆 Reward for Tasks: Up to 50,000 MJACK. 👨‍👩‍👧 Referral Reward: 5000 MJACK 👉 https://t.co/Dd1tK…",ethereum
09/01/2017,-0.2,80,"@NQRQOoDTAwtGJkW @WatcherGuru @BlueSparrowETH @BluesparrowC BlueSparrow_makes_everyone_happy This_is_our_slogan #ETH #BlueSparrow #BlueSparrowtoken #BlueSparrowCommunity #BestDrawToken #Bluesparrowcharity @BlueSparrowETH #web3 Bluesparrow #ethereum @BluesparrowC",ethereum
